Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
0,ANDHRA PRADESH,1955,1 ICHCHAPURAM,1 UPPADA RANGABABU,M,null,null,KLP,14565
1,ANDHRA PRADESH,1955,1 ICHCHAPURAM,2 HARIHARA PATNAIK,M,null,null,IND,7408
2,ANDHRA PRADESH,1955,1 ICHCHAPURAM,3 PUDI LOKANADHAM,M,null,null,IND,6508
3,ANDHRA PRADESH,1955,1 ICHCHAPURAM,4 KALLA BALARAMA SWAMY,M,null,null,IND,3002
4,ANDHRA PRADESH,1955,1 ICHCHAPURAM,5 BANIKINKARA SHARMA,M,null,null,IND,682
5,ANDHRA PRADESH,1955,2 SOMPETA,1 GOUTU LATCHANNA,M,null,null,KLP,21436
6,ANDHRA PRADESH,1955,2 SOMPETA,2 MARUPPU PAMANABHAM,M,null,null,CPI,9261
7,ANDHRA PRADESH,1955,2 SOMPETA,3 PUDI LOKANADHAM,M,null,null,IND,934
8,ANDHRA PRADESH,1955,3 BRAHMANATARLA,1 NICHARIA RAMULU,M,null,null,KLP,11243
9,ANDHRA PRADESH,1955,3 BRAHMANATARLA,1 NICHARIA RAMULU,M,null,null,KLP,11243
10,ANDHRA PRADESH,1955,3 BRAHMANATARLA,2 UPPADA RAMARAO,M,null,null,CPI,6034
11,ANDHRA PRADESH,1955,3 BRAHMANATARLA,3 BAPA MALLESWARA REDDY,M,null,null,IND,4894
12,ANDHRA PRADESH,1955,3 BRAHMANATARLA,4 MALLAREDDI NARAYANARAO DORA,M,null,null,IND,2914
13,ANDHRA PRADESH,1955,3 BRAHMANATARLA,5 KURAMANA PAPARAO,M,null,null,IND,2450
14,ANDHRA PRADESH,1955,3 BRAHMANATARLA,6 GARIMELLA JAGANN ADHARAO,M,null,null,IND,1778
15,ANDHRA PRADESH,1955,4 TEKKALI,1 ROKKAM LAKSHMI NARASIMHAM DORA,M,null,null,INC,11252
16,ANDHRA PRADESH,1955,4 TEKKALI,2 BENDI KUMANNA,M,null,null,IND,10716
17,ANDHRA PRADESH,1955,4 TEKKALI,3 MOSALIKANTI VENKARARAMADASU,M,null,null,CPI,3949
18,ANDHRA PRADESH,1955,4 TEKKALI,4 DUKKA SURYANARAYANA REDDY,M,null,null,IND,3519
19,ANDHRA PRADESH,1955,4 TEKKALI,5 HANUMANTA SATYANARAYANA DORA,M,null,null,IND,2902
20,ANDHRA PRADESH,1955,4 TEKKALI,6 GARIMELLA VENKATA RAMANAMURTY,M,null,null,IND,1369
21,ANDHRA PRADESH,1955,5 NARASANNAPETA,1 SIMMA JAGANNADHAM,M,null,null,KLP,9902
22,ANDHRA PRADESH,1955,5 NARASANNAPETA,2 VANDANA SATYANARAYANA,M,null,null,CPI,6847
23,ANDHRA PRADESH,1955,5 NARASANNAPETA,3 MUDDADA LATCHUNNAIDU,M,null,null,IND,6598
