Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
24435,ARUNACHAL PRADESH,1978,1 TAWANG,1 KARMA WANGCHU,M,null,null,IND,2313
24436,ARUNACHAL PRADESH,1978,1 TAWANG,2 TASHI LAMA,M,null,null,JNP,1236
24437,ARUNACHAL PRADESH,1978,2 TAWANG II,1 TASHI KHANDU,M,null,null,IND,1874
24438,ARUNACHAL PRADESH,1978,2 TAWANG II,2 TSERING TASHI,M,null,null,JNP,1636
24439,ARUNACHAL PRADESH,1978,3 DIRANG,1 PREM KHANDU THUNGON (UNCONTESTED),M,null,null,JNP,null
24440,ARUNACHAL PRADESH,1978,4 BOMDILA,1 RINCHIN KHARU,M,null,null,JNP,2734
24441,ARUNACHAL PRADESH,1978,4 BOMDILA,2 DORJEE TSERING,M,null,null,IND,986
24442,ARUNACHAL PRADESH,1978,5 SEPPA,1 DONGLO SONAM,M,null,null,JNP,4232
24443,ARUNACHAL PRADESH,1978,5 SEPPA,2 NYARI WELLI,F,null,null,PPA,1649
24444,ARUNACHAL PRADESH,1978,5 SEPPA,3 NIMA NOTUNG,M,null,null,IND,311
24445,ARUNACHAL PRADESH,1978,5 SEPPA,4 SENGNE SENGDE,M,null,null,IND,291
24446,ARUNACHAL PRADESH,1978,6 CHAYANG TAJO,1 KAMENG DOLO,M,null,null,JNP,3396
24447,ARUNACHAL PRADESH,1978,6 CHAYANG TAJO,2 TAME YANGFO,M,null,null,PPA,2509
24448,ARUNACHAL PRADESH,1978,7 KOLORIANG,1 CHERA TALO,M,null,null,JNP,2221
24449,ARUNACHAL PRADESH,1978,7 KOLORIANG,2 LOKAM TADO,M,null,null,PPA,1895
24450,ARUNACHAL PRADESH,1978,8 NYAPIN PALIN,1 TADAR TANG,M,null,null,JNP,3961
24451,ARUNACHAL PRADESH,1978,8 NYAPIN PALIN,2 TADAR TANIANG,M,null,null,PPA,999
24452,ARUNACHAL PRADESH,1978,9 DOIMUKH,1 TARA SINDA,M,null,null,JNP,2149
24453,ARUNACHAL PRADESH,1978,9 DOIMUKH,2 KHODA TANA,M,null,null,IND,1520
24454,ARUNACHAL PRADESH,1978,9 DOIMUKH,3 TARIN MALO,M,null,null,IND,1243
24455,ARUNACHAL PRADESH,1978,9 DOIMUKH,4 BUDA TANA,M,null,null,PPA,1219
24456,ARUNACHAL PRADESH,1978,9 DOIMUKH,5 TEM TAI,M,null,null,IND,458
24457,ARUNACHAL PRADESH,1978,10 ZIRO HAPOLI,1 PADI YUBBE,M,null,null,JNP,4529
