Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
25888,ASSAM,1951,1 LUNGLEH,"1 DENGTHUAMA, R",M,null,null,MU,6202
25889,ASSAM,1951,1 LUNGLEH,"1 DENGTHUAMA, R",M,null,null,MU,6202
25890,ASSAM,1951,1 LUNGLEH,"2 THUAMLUAIA, C",M,null,null,UMFO,4409
25891,ASSAM,1951,2 AIJAL EAST,1 PU R. THANHLIRA,M,null,null,MU,11136
25892,ASSAM,1951,2 AIJAL EAST,2 PU LALHMINGLIANA,M,null,null,UMFO,2572
25893,ASSAM,1951,3 AIJAL WEST,1 PU CH. SAPRAWNGA,M,null,null,MU,11766
25894,ASSAM,1951,3 AIJAL WEST,1 PU CH. SAPRAWNGA,M,null,null,MU,11766
25895,ASSAM,1951,3 AIJAL WEST,2 PU ROKUMA,M,null,null,UMFO,2089
25896,ASSAM,1951,4 RATABARI PATHARKANDI,1 BAIDYANATH MOOKERJEE,M,null,null,INC,19794
25897,ASSAM,1951,4 RATABARI PATHARKANDI,2 RAMESH CHANDRA DAS CHOWDHURY,M,null,null,INC,19456
25898,ASSAM,1951,4 RATABARI PATHARKANDI,3 GOPESH NAMASUDRA,M,null,null,CPI,7279
25899,ASSAM,1951,4 RATABARI PATHARKANDI,4 SIDAS RABIDAS,M,null,null,IND,6643
25900,ASSAM,1951,4 RATABARI PATHARKANDI,5 RABINDRANATH ADITYA,M,null,null,IND,6372
25901,ASSAM,1951,4 RATABARI PATHARKANDI,6 SHAMBHU SINGH,M,null,null,CPI,5800
25902,ASSAM,1951,4 RATABARI PATHARKANDI,7 VISHWANATH UPADHYA,M,null,null,IND,3791
25903,ASSAM,1951,4 RATABARI PATHARKANDI,8 SAMRESH SINHA,M,null,null,SP,3221
25904,ASSAM,1951,4 RATABARI PATHARKANDI,9 DHIRENDRA CH. PAL,M,null,null,IND,2438
25905,ASSAM,1951,4 RATABARI PATHARKANDI,10 SASHI BHUSAN ROY,M,null,null,IND,2297
25906,ASSAM,1951,4 RATABARI PATHARKANDI,11 SUNA CHAND SINGHA,M,null,null,IND,1624
25907,ASSAM,1951,4 RATABARI PATHARKANDI,11 SUNA CHAND SINGHA,M,null,null,IND,1624
