Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
41824,BIHAR,1962,1 DHANAHA,1 RANGLAL PRASAD,M,null,null,INC,9777
41825,BIHAR,1962,1 DHANAHA,2 YOGENDRA PRASAD SHRIVASTAVA,M,null,null,PSP,9584
41826,BIHAR,1962,2 BAGAHA,1 NARSINGH BAITHA,M,null,null,INC,21064
41827,BIHAR,1962,2 BAGAHA,2 BHOLA RAUT MESTAR,M,null,null,PSP,5076
41828,BIHAR,1962,2 BAGAHA,3 BALDEO MAHTO,M,null,null,CPI,4722
41829,BIHAR,1962,2 BAGAHA,4 SHEO PRASAD HARIJAN,M,null,null,SWA,4580
41830,BIHAR,1962,2 BAGAHA,5 KHOBHARI HARIJAN,M,null,null,IND,1006
41831,BIHAR,1962,2 BAGAHA,6 SAJAN CHAMAR,M,null,null,IND,466
41832,BIHAR,1962,3 RAMNAGAR,1 NARAIN BIKRAM SHAH ALIAS NARAIN RAJA,M,null,null,SWA,26487
41833,BIHAR,1962,3 RAMNAGAR,2 KEDAR PANDEY,M,null,null,INC,23040
41834,BIHAR,1962,4 SHIKARPUR,1 UMESH PRASAD VERMA,M,null,null,INC,16113
41835,BIHAR,1962,4 SHIKARPUR,2 LAKSHMAN PRASAD,M,null,null,SWA,11855
41836,BIHAR,1962,5 SIKTA,1 RAIFUL AZAM,M,null,null,SWA,7308
41837,BIHAR,1962,5 SIKTA,2 MOHAMMAD OBAIDULLAH,M,null,null,INC,6916
41838,BIHAR,1962,5 SIKTA,3 UMASHANKER SHUKLA,M,null,null,CPI,5485
41839,BIHAR,1962,6 LAURIYA,1 SUBH NARAIN PRASAD,M,null,null,INC,14903
41840,BIHAR,1962,6 LAURIYA,2 SINHESHWAR PRASAD VERMA,M,null,null,PSP,10601
41841,BIHAR,1962,7 CHANPATIA,1 PRAMOD KUMAR MISHRA,M,null,null,INC,15293
41842,BIHAR,1962,7 CHANPATIA,2 PAWAN KUMAR MISHRA,M,null,null,IND,6312
41843,BIHAR,1962,7 CHANPATIA,3 NAGINA RAI,M,null,null,SWA,3435
41844,BIHAR,1962,8 BETTIAH,1 JAY NARAYAN PRASAD,M,null,null,INC,12154
41845,BIHAR,1962,8 BETTIAH,2 MADAN LAL SINGHANIA,M,null,null,JS,5085
41846,BIHAR,1962,8 BETTIAH,3 ABDUL KHAIR,M,null,null,PSP,4457
41847,BIHAR,1962,9 MANJHAULIA,1 JILDAR RAM,M,null,null,SWA,13146
41848,BIHAR,1962,9 MANJHAULIA,1 JILDAR RAM,M,null,null,SWA,13146
41849,BIHAR,1962,9 MANJHAULIA,2 JAGANNATH PRASAD SWATANTRA,M,null,null,INC,13036
41850,BIHAR,1962,10 RAXAUL,1 RADHA PANDE,M,null,null,INC,10882
41851,BIHAR,1962,10 RAXAUL,2 VINDHYACHAL SINGH,M,null,null,PSP,9500
41852,BIHAR,1962,10 RAXAUL,3 RADHA KRISHNA SINGH,M,null,null,SWA,6491
41853,BIHAR,1962,10 RAXAUL,4 DEO NARAIN PRASAD,M,null,null,IND,717
41854,BIHAR,1962,11 ADAPUR,1 RAMBARAN PRASAD,M,null,null,PSP,7365
41855,BIHAR,1962,11 ADAPUR,2 HARGUN PRASAD SAHI,M,null,null,INC,6367
41856,BIHAR,1962,11 ADAPUR,3 MAKSUD ALAM,M,null,null,SWA,5282
41857,BIHAR,1962,11 ADAPUR,4 BRAJNANDAN SHARMA,M,null,null,IND,2217
41858,BIHAR,1962,11 ADAPUR,5 YADAV LAL RAI,M,null,null,IND,1916
41859,BIHAR,1962,12 GHORASAHAN,1 RAJENDRA PRATAP SINGH,M,null,null,INC,13214
41860,BIHAR,1962,12 GHORASAHAN,2 RAMAYODHYA PRASAD,M,null,null,PSP,10750
41861,BIHAR,1962,12 GHORASAHAN,3 SATYA NARAIN RAI ARYA,M,null,null,IND,2568
41862,BIHAR,1962,12 GHORASAHAN,4 RADHAKRISHNA PRASAD GUPTA,M,null,null,SWA,1497
41863,BIHAR,1962,13 DHAKA,1 NEK MAHAMAD,M,null,null,CPI,10928
41864,BIHAR,1962,13 DHAKA,2 GAJADHAR SINGH,M,null,null,SWA,8214
41865,BIHAR,1962,13 DHAKA,3 MASOODUR RAHMAN,M,null,null,INC,6787
41866,BIHAR,1962,13 DHAKA,4 DAROGA PRASAD,M,null,null,PSP,684
41867,BIHAR,1962,14 PATABI,1 BIBHISHAN KUMAR,M,null,null,INC,9385
41868,BIHAR,1962,14 PATABI,2 RAMAPATI SINGH,M,null,null,PSP,7136
41869,BIHAR,1962,14 PATABI,3 BINDESHWARI PRASAD SINGH,M,null,null,SWA,5544
41870,BIHAR,1962,14 PATABI,4 BINDHYACHAL SINGH,M,null,null,IND,4663
41871,BIHAR,1962,15 MADHUBAN,1 MANGAL PRASAD YADAV,M,null,null,INC,7697
41872,BIHAR,1962,15 MADHUBAN,2 RUPLAL RAI,M,null,null,SWA,5974
41873,BIHAR,1962,15 MADHUBAN,3 MUNSHI BHAGAT,M,null,null,CPI,5793
41874,BIHAR,1962,15 MADHUBAN,4 VISHWANATH PRASAD SINGH,M,null,null,IND,2192
41875,BIHAR,1962,15 MADHUBAN,5 KAMTA PRASAD SINGH,M,null,null,IND,825
41876,BIHAR,1962,16 KESARIA,1 PITAMBAR SINGH,M,null,null,CPI,16733
41877,BIHAR,1962,16 KESARIA,2 PRABHAWATI GUPTA,F,null,null,INC,10694
41878,BIHAR,1962,16 KESARIA,3 PARAS NATH SINGH,M,null,null,SWA,1529
41879,BIHAR,1962,17 PIPRA,1 SATYADEO PRASAD CHAUDHARI,M,null,null,INC,13080
41880,BIHAR,1962,17 PIPRA,2 GANGA NATH MISHRA,M,null,null,IND,5065
41881,BIHAR,1962,17 PIPRA,3 GAYA PRASAD,M,null,null,IND,1393
41882,BIHAR,1962,17 PIPRA,4 AMBIKA KANT SINGH,M,null,null,IND,1381
41883,BIHAR,1962,17 PIPRA,5 BANSHRAKSHAN MISHRA,M,null,null,IND,1270
41884,BIHAR,1962,17 PIPRA,6 BALIRAM PANDEY,M,null,null,IND,521
41885,BIHAR,1962,18 MOTIHARI,1 SHAKUNTLA DEVI,F,null,null,INC,15576
41886,BIHAR,1962,18 MOTIHARI,2 SURYADEO NARAIN GUPTA,M,null,null,IND,9119
41887,BIHAR,1962,18 MOTIHARI,3 SATYA NARAIN PRASAD VERMA,M,null,null,SWA,4285
41888,BIHAR,1962,18 MOTIHARI,4 JAIGOBIND THAKUR,M,null,null,JS,2662
41889,BIHAR,1962,19 SUGAULI,1 BIDYA KISHORE BIDYALANKAR,M,null,null,INC,9946
41890,BIHAR,1962,19 SUGAULI,2 SHEONATH RAM,M,null,null,SWA,4682
41891,BIHAR,1962,19 SUGAULI,3 SHEONATH HAJRA,M,null,null,PSP,1885
41892,BIHAR,1962,20 HARSIDHI,1 NAGESHWAR DUTT PATHAK,M,null,null,INC,19675
41893,BIHAR,1962,20 HARSIDHI,2 NAYAN PRASAD SINGH,M,null,null,IND,12104
41894,BIHAR,1962,21 GOVINDGANJ,1 DHRUP NARAIN MANI TRIPATHI,M,null,null,INC,13977
41895,BIHAR,1962,21 GOVINDGANJ,2 RAM DEO DWIVEDI,M,null,null,CPI,10611
41896,BIHAR,1962,21 GOVINDGANJ,3 ARUN PRAKASH PANDE,M,null,null,SWA,3323
41897,BIHAR,1962,21 GOVINDGANJ,4 UMAKANT DUTT,M,null,null,IND,632
41898,BIHAR,1962,21 GOVINDGANJ,5 SHIVAKANT MANI TRIPATHI,M,null,null,IND,444
41899,BIHAR,1962,22 BARAULI,1 GORAKH RAI,M,null,null,INC,24054
41900,BIHAR,1962,22 BARAULI,2 HAZARI SAH,M,null,null,SWA,8953
41901,BIHAR,1962,22 BARAULI,3 BIJUL SINGH,M,null,null,CPI,5100
41902,BIHAR,1962,22 BARAULI,4 SUDIST NARAYAN YADAV,M,null,null,SOC,576
41903,BIHAR,1962,23 GOPALGANJ,1 ABDUL GHAFOOR,M,null,null,INC,18161
41904,BIHAR,1962,23 GOPALGANJ,2 HARISHANKER SINHA,M,null,null,PSP,16704
41905,BIHAR,1962,24 KUCHAIKOTE,1 SHEOKUMAR PATHAK,M,null,null,INC,19151
41906,BIHAR,1962,24 KUCHAIKOTE,2 JAINARAYAN PRASAD,M,null,null,SWA,14155
41907,BIHAR,1962,25 KATEYA,1 BADARI MAHARA,M,null,null,SWA,15115
41908,BIHAR,1962,25 KATEYA,2 CHANDRIKA RAM,M,null,null,INC,13065
41909,BIHAR,1962,26 BHOREY,1 RAJ MANGAL MISHRA,M,null,null,INC,11483
41910,BIHAR,1962,26 BHOREY,2 NAND KISHORE NARAIN,M,null,null,SWA,6927
41911,BIHAR,1962,26 BHOREY,3 SHYAMLAL BHAGAT,M,null,null,IND,4886
41912,BIHAR,1962,26 BHOREY,4 NAGINA RAM,M,null,null,PSP,2359
41913,BIHAR,1962,27 MIRGANJ,1 PRABHUNATH TIWARI,M,null,null,PSP,22945
41914,BIHAR,1962,27 MIRGANJ,2 JANARDAN SINGH,M,null,null,INC,15092
41915,BIHAR,1962,28 SIWAN,1 JANARDAN TIWARI,M,null,null,JS,24206
41916,BIHAR,1962,28 SIWAN,2 SHANKAR NATH VIDYARTHI,M,null,null,INC,14523
41917,BIHAR,1962,28 SIWAN,3 SHEOJEE PRASAD,M,null,null,PSP,3867
41918,BIHAR,1962,29 ZIRADEI,1 RAJA RAM CHOUDHARY,M,null,null,SWA,19130
41919,BIHAR,1962,29 ZIRADEI,2 ZAWAR HUSSAIN,M,null,null,INC,18426
41920,BIHAR,1962,29 ZIRADEI,3 M. N. AHMAD,M,null,null,IND,1352
41921,BIHAR,1962,30 MAIRWA,1 RAM BASAWAN RAM,M,null,null,INC,9254
41922,BIHAR,1962,30 MAIRWA,2 ACHHAIBAR RAM,M,null,null,PSP,5858
41923,BIHAR,1962,30 MAIRWA,3 NARAIN CHOUDHARY,M,null,null,SWA,2473
41924,BIHAR,1962,30 MAIRWA,4 SHEO BACHAN CHAMAR,M,null,null,JS,1290
41925,BIHAR,1962,31 DARAULI,1 RAMAYAN SHUKLA,M,null,null,INC,10028
41926,BIHAR,1962,31 DARAULI,2 RAJENDRA PRASAD SINGH,M,null,null,SWA,7902
41927,BIHAR,1962,31 DARAULI,3 LAKSHUMAN AHIR,M,null,null,SOC,5875
41928,BIHAR,1962,31 DARAULI,4 RAMAUTAR ARYA,M,null,null,PSP,2741
41929,BIHAR,1962,31 DARAULI,5 RAMAYAN PANDEY,M,null,null,RRP,2049
41930,BIHAR,1962,31 DARAULI,6 BIPIN BIHARI VERMA,M,null,null,JS,1569
41931,BIHAR,1962,32 RAGHUNATHPUR,1 RAMANAND YADAV,M,null,null,INC,15686
41932,BIHAR,1962,32 RAGHUNATHPUR,2 RAMDEO SINGH,M,null,null,PSP,13763
41933,BIHAR,1962,32 RAGHUNATHPUR,3 PARMA NAND MAHANTH,M,null,null,SWA,846
41934,BIHAR,1962,33 MANJHI,1 GIRISH TIWARY,M,null,null,INC,14823
