Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
88726,CHHATTISGARH,2003,1 MANENDRAGARH,1 GULAB SINGH,M,null,null,INC,41515
88727,CHHATTISGARH,2003,1 MANENDRAGARH,2 RAM LAKHAN SINGH,M,null,null,BJP,33989
88728,CHHATTISGARH,2003,1 MANENDRAGARH,3 DR. L.S. UDAY,M,null,null,GGP,12615
88729,CHHATTISGARH,2003,1 MANENDRAGARH,4 CHHOTE LAL,M,null,null,NCP,10448
88730,CHHATTISGARH,2003,1 MANENDRAGARH,5 VIMAL KUMAR,M,null,null,IND,4898
88731,CHHATTISGARH,2003,1 MANENDRAGARH,6 DRIGPAL SINGH UIKAY,M,null,null,BSP,2760
88732,CHHATTISGARH,2003,1 MANENDRAGARH,7 MAN SINGH,M,null,null,IND,1667
88733,CHHATTISGARH,2003,1 MANENDRAGARH,8 BHAGWAN SINGH,M,null,null,SP,1475
88734,CHHATTISGARH,2003,1 MANENDRAGARH,9 BUDDHSEN SINGH,M,null,null,JD(U),1236
88735,CHHATTISGARH,2003,1 MANENDRAGARH,10 GAMBHIR SINGH,M,null,null,LSWP,1026
88736,CHHATTISGARH,2003,1 MANENDRAGARH,11 SAMAY LAL GURUJI,M,null,null,LJNSP,998
88737,CHHATTISGARH,2003,2 BAIKUNTHPUR,1 DR. RAM CHANDRA SINGH DEV,M,null,null,INC,51107
88738,CHHATTISGARH,2003,2 BAIKUNTHPUR,2 BHAIYA LAL RAJWADE,M,null,null,BJP,43137
88739,CHHATTISGARH,2003,2 BAIKUNTHPUR,3 PRAKASH TIWARI,M,null,null,NCP,10319
88740,CHHATTISGARH,2003,2 BAIKUNTHPUR,4 KAMLESHWAR PRASAD,M,null,null,GGP,5694
88741,CHHATTISGARH,2003,2 BAIKUNTHPUR,5 D.L.BHASKAR,M,null,null,BSP,3844
88742,CHHATTISGARH,2003,2 BAIKUNTHPUR,6 HEERA LAL,M,null,null,IND,2763
88743,CHHATTISGARH,2003,2 BAIKUNTHPUR,7 BALBHADRA PANDEY,M,null,null,CPM,1703
88744,CHHATTISGARH,2003,2 BAIKUNTHPUR,8 PT. ANIL 'MAHRAJ',M,null,null,IND,1358
88745,CHHATTISGARH,2003,2 BAIKUNTHPUR,9 MANI LAL RAJWADE,M,null,null,SP,1077
88746,CHHATTISGARH,2003,2 BAIKUNTHPUR,10 KRISHANA SINGH BABA,M,null,null,IND,901
88747,CHHATTISGARH,2003,3 PREMNAGAR,1 RENUKA SINGH,F,null,null,BJP,48363
88748,CHHATTISGARH,2003,3 PREMNAGAR,2 TULESHWAR SINGH,M,null,null,INC,30611
88749,CHHATTISGARH,2003,3 PREMNAGAR,3 RAM MANOHAR SINGH,M,null,null,GGP,6068
88750,CHHATTISGARH,2003,3 PREMNAGAR,4 CHANDAN SINGH,M,null,null,NCP,5345
88751,CHHATTISGARH,2003,3 PREMNAGAR,5 SETAN SINGH,M,null,null,IND,3586
88752,CHHATTISGARH,2003,3 PREMNAGAR,6 BUDHIMAN SINGH,M,null,null,SP,2941
88753,CHHATTISGARH,2003,4 SURAJPUR,1 SHIV PRATAP SINGH,M,null,null,BJP,51228
88754,CHHATTISGARH,2003,4 SURAJPUR,2 BHANU PRATAP SINGH,M,null,null,INC,23717
88755,CHHATTISGARH,2003,4 SURAJPUR,3 SANTLAL SINGH,M,null,null,IND,9417
88756,CHHATTISGARH,2003,4 SURAJPUR,4 SHIV BACHAN,M,null,null,NCP,3876
88757,CHHATTISGARH,2003,4 SURAJPUR,5 SOMARU SINGH,M,null,null,SP,3586
88758,CHHATTISGARH,2003,4 SURAJPUR,6 DEO NARAYAN,M,null,null,IND,1693
88759,CHHATTISGARH,2003,4 SURAJPUR,7 JAINATH SINGH,M,null,null,GGP,1116
88760,CHHATTISGARH,2003,4 SURAJPUR,8 KHEMRAJ SINGH,M,null,null,IND,840
88761,CHHATTISGARH,2003,5 PAL,1 RAMVICHAR NETAAM,M,null,null,BJP,36309
88762,CHHATTISGARH,2003,5 PAL,2 BRIHASPAT SINGH,M,null,null,IND,26096
88763,CHHATTISGARH,2003,5 PAL,3 RAMSAGAR,M,null,null,INC,18979
88764,CHHATTISGARH,2003,5 PAL,4 DEO SAI,M,null,null,NCP,13068
88765,CHHATTISGARH,2003,5 PAL,5 MUNSHI RAM,M,null,null,IND,4509
88766,CHHATTISGARH,2003,5 PAL,6 HARIKESWAR SINGH MARKAM,M,null,null,CPI,3985
88767,CHHATTISGARH,2003,5 PAL,7 AKHILESH KUMAR,M,null,null,IND,1852
88768,CHHATTISGARH,2003,5 PAL,8 ASHA DEVI,F,null,null,GGP,1544
88769,CHHATTISGARH,2003,5 PAL,9 MIKHAEL EKKA,M,null,null,SP,1495
88770,CHHATTISGARH,2003,6 SAMRI,1 SIDHANATH,M,null,null,BJP,31878
88771,CHHATTISGARH,2003,6 SAMRI,2 MAHESWAR PAIKARA,M,null,null,INC,18496
88772,CHHATTISGARH,2003,6 SAMRI,3 PARASNATH,M,null,null,NCP,9669
88773,CHHATTISGARH,2003,6 SAMRI,4 JEGMANI DEVI,F,null,null,CPI,5252
88774,CHHATTISGARH,2003,6 SAMRI,5 SOMNATH BHAGAT,M,null,null,IND,2544
88775,CHHATTISGARH,2003,6 SAMRI,6 SHIVBHAROS LAKARA,M,null,null,IND,1748
88776,CHHATTISGARH,2003,6 SAMRI,7 TARKESHWAR,M,null,null,SP,1620
88777,CHHATTISGARH,2003,6 SAMRI,8 BIRENDRA,M,null,null,IND,1394
88778,CHHATTISGARH,2003,6 SAMRI,9 DINESH KUMAR KUJUR,M,null,null,IND,1255
88779,CHHATTISGARH,2003,6 SAMRI,10 PRABHA BHAGAT,F,null,null,IND,767
88780,CHHATTISGARH,2003,6 SAMRI,11 JILESHWAR RAM,M,null,null,IND,716
88781,CHHATTISGARH,2003,7 LUNDRA,1 VIJAYA NATH,M,null,null,BJP,34357
88782,CHHATTISGARH,2003,7 LUNDRA,2 RAMDEV RAM,M,null,null,INC,34315
88783,CHHATTISGARH,2003,7 LUNDRA,3 RAM JIWAN,M,null,null,CPI,10862
88784,CHHATTISGARH,2003,7 LUNDRA,4 BHOLA SINGH,M,null,null,NCP,8994
88785,CHHATTISGARH,2003,7 LUNDRA,5 VISWANATH,M,null,null,IND,4205
88786,CHHATTISGARH,2003,7 LUNDRA,6 DOMANIK,M,null,null,SP,3427
88787,CHHATTISGARH,2003,7 LUNDRA,7 RAMCHAL,M,null,null,JMM,1926
88788,CHHATTISGARH,2003,8 PILKHA,1 RAMSEWAK PAIKRA,M,null,null,BJP,59967
88789,CHHATTISGARH,2003,8 PILKHA,2 PREM SAI,M,null,null,INC,39466
88790,CHHATTISGARH,2003,8 PILKHA,3 BIRBAL,M,null,null,CPI,3872
88791,CHHATTISGARH,2003,8 PILKHA,4 MAHENDRA PRASAD,M,null,null,IND,3400
88792,CHHATTISGARH,2003,8 PILKHA,5 BAL SINGH,M,null,null,CPM,3397
88793,CHHATTISGARH,2003,8 PILKHA,6 DUBRAJ SINGH,M,null,null,GGP,2246
88794,CHHATTISGARH,2003,8 PILKHA,7 RAGHUWAR,M,null,null,NCP,1795
88795,CHHATTISGARH,2003,8 PILKHA,8 NARENDRA KUMAR SINGH,M,null,null,IND,1184
88796,CHHATTISGARH,2003,8 PILKHA,9 BERNADET JOSEPH,F,null,null,JMM,860
88797,CHHATTISGARH,2003,8 PILKHA,10 CHANDA,F,null,null,IND,687
88798,CHHATTISGARH,2003,9 AMBIKAPUR,1 KAMAL BHAN SINGH,M,null,null,BJP,65812
88799,CHHATTISGARH,2003,9 AMBIKAPUR,2 MADAN GOPAL SINGH,M,null,null,INC,28590
88800,CHHATTISGARH,2003,9 AMBIKAPUR,3 PRABODH MINJ,M,null,null,NCP,14568
88801,CHHATTISGARH,2003,9 AMBIKAPUR,4 GURUSHARAN SINGH PAINKARA,M,null,null,BSP,4011
88802,CHHATTISGARH,2003,9 AMBIKAPUR,5 SMT FULESWARI SINGH,F,null,null,IND,3935
88803,CHHATTISGARH,2003,9 AMBIKAPUR,6 GANJHA RAM THAKUR,M,null,null,SP,2977
88804,CHHATTISGARH,2003,9 AMBIKAPUR,7 BANSIDHAR URAWAN,M,null,null,JMM,1406
88805,CHHATTISGARH,2003,9 AMBIKAPUR,8 DEVNARAYAN SINGH,M,null,null,IND,1069
88806,CHHATTISGARH,2003,9 AMBIKAPUR,9 PRAVEEN KUMAR,M,null,null,IND,995
88807,CHHATTISGARH,2003,10 SITAPUR,1 AMARJEET,M,null,null,INC,35369
88808,CHHATTISGARH,2003,10 SITAPUR,2 RAJA RAM BHAGAT,M,null,null,BJP,30267
88809,CHHATTISGARH,2003,10 SITAPUR,3 AMAR SINGH,M,null,null,NCP,9037
88810,CHHATTISGARH,2003,10 SITAPUR,4 FUL SAI LAKRA,M,null,null,IND,3083
88811,CHHATTISGARH,2003,10 SITAPUR,5 BHUNESWAR SINGH PAINKARA,M,null,null,SP,1575
88812,CHHATTISGARH,2003,10 SITAPUR,6 NET RAM,M,null,null,IND,1547
88813,CHHATTISGARH,2003,10 SITAPUR,7 AALAM SAI GHICHHA MANJHI,M,null,null,IND,1294
88814,CHHATTISGARH,2003,10 SITAPUR,8 SHIRACHAND,M,null,null,JMM,789
88815,CHHATTISGARH,2003,11 BAGICHA,1 GANESH RAM BHAGAT,M,null,null,BJP,43846
88816,CHHATTISGARH,2003,11 BAGICHA,2 ANAND LAL KUJUR,M,null,null,INC,33274
88817,CHHATTISGARH,2003,11 BAGICHA,3 RAM MUNI,F,null,null,IND,2456
88818,CHHATTISGARH,2003,11 BAGICHA,4 JOWAKIM,M,null,null,NCP,1996
88819,CHHATTISGARH,2003,11 BAGICHA,5 HEMLATA,F,null,null,BSP,1857
88820,CHHATTISGARH,2003,11 BAGICHA,6 INJOR SAI,M,null,null,IND,1290
