Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
91930,DELHI,1951,1 KOTLA FEROZE SHAH,1 SHANTA VASISHT,M,null,null,INC,4646
91931,DELHI,1951,1 KOTLA FEROZE SHAH,2 V . P . JOSHI,M,null,null,BJS,2657
91932,DELHI,1951,1 KOTLA FEROZE SHAH,3 OM PARKASH GUPTA,M,null,null,IND,562
91933,DELHI,1951,1 KOTLA FEROZE SHAH,3 OM PARKASH GUPTA,M,null,null,IND,562
91934,DELHI,1951,1 KOTLA FEROZE SHAH,4 B . AMBA CHARAN,M,null,null,IND,393
91935,DELHI,1951,2 PARLIAMENT STREET,1 KHUSHALESHWAR PRASHAD SHANKARA,M,null,null,INC,5646
91936,DELHI,1951,2 PARLIAMENT STREET,1 KHUSHALESHWAR PRASHAD SHANKARA,M,null,null,INC,5646
91937,DELHI,1951,2 PARLIAMENT STREET,2 RAJINDAR NARAIN,M,null,null,IND,2579
91938,DELHI,1951,2 PARLIAMENT STREET,3 SURENDRA NATH,M,null,null,IND,175
91939,DELHI,1951,3 SAFDAR JANG,1 DALJIT SINGH,M,null,null,INC,5870
91940,DELHI,1951,3 SAFDAR JANG,2 ARTHUR W . MENEZES,M,null,null,SP,1042
91941,DELHI,1951,3 SAFDAR JANG,2 ARTHUR W . MENEZES,M,null,null,SP,1042
91942,DELHI,1951,3 SAFDAR JANG,3 K . R . CHANDRAN,M,null,null,IND,316
91943,DELHI,1951,4 LODHI ROAD,1 SHIV NANDAN RISHI,M,null,null,INC,3860
91944,DELHI,1951,4 LODHI ROAD,2 PARTAP SINGH,M,null,null,BJS,2062
91945,DELHI,1951,4 LODHI ROAD,3 DEVI SARAN,M,null,null,KMPP,1328
91946,DELHI,1951,4 LODHI ROAD,4 P . L . BHAKHRY,M,null,null,IND,397
91947,DELHI,1951,4 LODHI ROAD,5 BANKEY BEHARI,M,null,null,IND,229
91948,DELHI,1951,4 LODHI ROAD,5 BANKEY BEHARI,M,null,null,IND,229
91949,DELHI,1951,4 LODHI ROAD,6 SHYAM LAL,M,null,null,IND,52
91950,DELHI,1951,5 PURANA QILLA VINEY NAGAR,1 PUSHPA DEVI,M,null,null,INC,4418
91951,DELHI,1951,5 PURANA QILLA VINEY NAGAR,2 GURDIT SINGH,M,null,null,KMPP,1630
91952,DELHI,1951,5 PURANA QILLA VINEY NAGAR,3 VISHWA NATH,M,null,null,BJS,1264
91953,DELHI,1951,5 PURANA QILLA VINEY NAGAR,3 VISHWA NATH,M,null,null,BJS,1264
91954,DELHI,1951,5 PURANA QILLA VINEY NAGAR,4 VISHNU GUPT,M,null,null,IND,337
91955,DELHI,1951,5 PURANA QILLA VINEY NAGAR,5 BRIJ LAL,M,null,null,RRP,250
91956,DELHI,1951,6 DELHI CANTONMENT,1 RAGHVENDRA SINGH,M,null,null,INC,4606
91957,DELHI,1951,6 DELHI CANTONMENT,2 RAGHBIR SINGH,M,null,null,KMPP,3230
91958,DELHI,1951,7 READING ROAD,1 PRAFULLA RANJAN CHAKARVARTI,M,null,null,INC,10107
91959,DELHI,1951,7 READING ROAD,2 BHAGWAN DAS,M,null,null,BJS,5492
91960,DELHI,1951,7 READING ROAD,3 KANWAR NARAIN,M,null,null,IND,413
91961,DELHI,1951,7 READING ROAD,4 SHAKUNTLA,M,null,null,IND,333
91962,DELHI,1951,7 READING ROAD,4 SHAKUNTLA,M,null,null,IND,333
91963,DELHI,1951,7 READING ROAD,5 D . C . KULKARNI,M,null,null,IND,256
91964,DELHI,1951,7 READING ROAD,6 MAYA DASS,M,null,null,HMS,168
91965,DELHI,1951,7 READING ROAD,7 AMIN CHAND,M,null,null,BJS,0
91966,DELHI,1951,8 CHITTAR GUPTA,1 KARTAR SINGH,M,null,null,INC,4470
91967,DELHI,1951,8 CHITTAR GUPTA,1 KARTAR SINGH,M,null,null,INC,4470
91968,DELHI,1951,8 CHITTAR GUPTA,2 SIRI RAM,M,null,null,BJS,2883
91969,DELHI,1951,8 CHITTAR GUPTA,3 ATTAR SINGH,M,null,null,IND,593
91970,DELHI,1951,8 CHITTAR GUPTA,4 RAM CHAND,M,null,null,IND,520
91971,DELHI,1951,9 MANTOLA,1 MUSHTAQ RAI,M,null,null,INC,5234
91972,DELHI,1951,9 MANTOLA,2 K . NARENDRA,M,null,null,BJS,4951
91973,DELHI,1951,9 MANTOLA,2 K . NARENDRA,M,null,null,BJS,4951
91974,DELHI,1951,9 MANTOLA,3 SARNAGAT SINGH,M,null,null,IND,211
91975,DELHI,1951,10 RAMNAGAR,1 SHANKAR LAL,M,null,null,INC,4718
91976,DELHI,1951,10 RAMNAGAR,2 SURENDRA NATH,M,null,null,IND,4302
91977,DELHI,1951,10 RAMNAGAR,3 DIN DAYAL,M,null,null,IND,311
91978,DELHI,1951,10 RAMNAGAR,4 BAS DEV JAI CHAND,M,null,null,IND,185
91979,DELHI,1951,11 JHANDAY WALAN,1 GARDHARI LAL SALWAN,M,null,null,BJS,4587
