Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
97731,GOA,1967,1 PERNEM,1 K . B . LAXMAN,M,null,null,MAG,4499
97732,GOA,1967,1 PERNEM,2 B . DESPRABHU,M,null,null,IND,2181
97733,GOA,1967,1 PERNEM,3 P . O . S . GOVIND,M,null,null,UGS,346
97734,GOA,1967,1 PERNEM,4 D . S . GOVINDRAO,M,null,null,PSP,169
97735,GOA,1967,1 PERNEM,5 P . D . N . YESHWANT,M,null,null,IND,146
97736,GOA,1967,1 PERNEM,6 N . D . S . JAGANNATH,M,null,null,IND,89
97737,GOA,1967,1 PERNEM,7 T . N . SWAR,M,null,null,IND,26
97738,GOA,1967,1 PERNEM,8 B . K . VINAYAK,M,null,null,IND,24
97739,GOA,1967,2 MANDREM,1 A . J . DSOUZA,M,null,null,MAG,6907
97740,GOA,1967,2 MANDREM,2 K . M . VINAYAK,M,null,null,UGS,1540
97741,GOA,1967,2 MANDREM,3 G . N . MUKUND,M,null,null,IND,445
97742,GOA,1967,2 MANDREM,4 M . H . NAIK,M,null,null,IND,176
97743,GOA,1967,2 MANDREM,5 S . R . BHISU,M,null,null,IND,155
97744,GOA,1967,2 MANDREM,6 A . N . WAMAN,M,null,null,IND,148
97745,GOA,1967,2 MANDREM,7 P . D . Y . LAXMAN,M,null,null,IND,127
97746,GOA,1967,2 MANDREM,8 M . CHAVAN,M,null,null,IND,79
97747,GOA,1967,2 MANDREM,9 D . S . WAMAN,M,null,null,IND,41
97748,GOA,1967,2 MANDREM,10 V . M . KAMULKAR,M,null,null,IND,22
97749,GOA,1967,3 SIOLIM,1 A . P . PANDURANG,M,null,null,MAG,5175
97750,GOA,1967,3 SIOLIM,2 D . ZEFERINO,M,null,null,UGS,4556
97751,GOA,1967,3 SIOLIM,3 S . P . PURUSHOTTAM,M,null,null,IND,354
97752,GOA,1967,3 SIOLIM,4 C . K . NARAYAN,M,null,null,IND,132
97753,GOA,1967,3 SIOLIM,5 D . A . PRABHU,M,null,null,IND,50
97754,GOA,1967,3 SIOLIM,6 J . F . SANTAN,M,null,null,IND,12
97755,GOA,1967,3 SIOLIM,6 J . F . SANTAN,M,null,null,IND,12
97756,GOA,1967,4 CALANGUTE,1 S . VALENTE,M,null,null,UGS,6329
97757,GOA,1967,4 CALANGUTE,2 M . R . DHARMA,M,null,null,MAG,4633
97758,GOA,1967,4 CALANGUTE,3 V . S . SOUZA,M,null,null,UGF,246
97759,GOA,1967,4 CALANGUTE,4 M . A . FERNANDES,M,null,null,IND,182
97760,GOA,1967,4 CALANGUTE,5 F . A . DOMINGOS,M,null,null,IND,137
97761,GOA,1967,4 CALANGUTE,6 S . I . ERNESTO,M,null,null,IND,68
97762,GOA,1967,4 CALANGUTE,7 J . N . PINTO,M,null,null,IND,54
97763,GOA,1967,4 CALANGUTE,8 M .S . KADAM,M,null,null,IND,8
97764,GOA,1967,5 ALDONA,1 L . S . O . FERNANDO,M,null,null,UGS,6084
97765,GOA,1967,5 ALDONA,2 M . N . PANDHARINATH,M,null,null,MAG,3969
97766,GOA,1967,5 ALDONA,3 L .D . C. NICOLAV,M,null,null,IND,177
97767,GOA,1967,5 ALDONA,4 C . J . JOAO,M,null,null,IND,168
97768,GOA,1967,5 ALDONA,5 A . M . DSILVA,M,null,null,IND,94
97769,GOA,1967,5 ALDONA,6 S . A . SHIVA,M,null,null,IND,35
97770,GOA,1967,6 MAPUSA,1 M . G . GOVIND,M,null,null,MAG,5476
97771,GOA,1967,6 MAPUSA,2 K . T . MANGESH,M,null,null,UGS,4040
97772,GOA,1967,6 MAPUSA,3 S . V . PANDURANG,M,null,null,IND,411
97773,GOA,1967,6 MAPUSA,4 M . T . BRAGANZA,M,null,null,IND,253
97774,GOA,1967,6 MAPUSA,5 A . J . PIEDADE,M,null,null,IND,151
97775,GOA,1967,6 MAPUSA,6 D . K . DATTARAM,M,null,null,IND,46
97776,GOA,1967,6 MAPUSA,7 N . K . YESHWANT,M,null,null,IND,25
97777,GOA,1967,6 MAPUSA,8 J . V . GORE,M,null,null,IND,14
97778,GOA,1967,7 TIVIM,1 J . RANE,M,null,null,MAG,4761
97779,GOA,1967,7 TIVIM,2 N . NARAYANANANT,M,null,null,UGS,1794
97780,GOA,1967,7 TIVIM,3 B . MAHADEV,M,null,null,IND,869
97781,GOA,1967,7 TIVIM,4 S . M . WALHEKAR,M,null,null,PSP,172
97782,GOA,1967,7 TIVIM,4 S . M . WALHEKAR,M,null,null,PSP,172
97783,GOA,1967,7 TIVIM,5 L . F . ALBINO,M,null,null,IND,119
97784,GOA,1967,7 TIVIM,6 D . Z . P . MARIAND,M,null,null,IND,34
97785,GOA,1967,7 TIVIM,7 P . S . NAGESH,M,null,null,IND,23
97786,GOA,1967,8 BICHOLIM,1 C . D . KESHAV,M,null,null,MAG,5565
97787,GOA,1967,8 BICHOLIM,2 S . S . SAKHARAM,M,null,null,IND,1149
97788,GOA,1967,8 BICHOLIM,3 P . G . M . GANGARAM,M,null,null,IND,444
97789,GOA,1967,8 BICHOLIM,4 DA . SHIVAJI,M,null,null,UGS,365
97790,GOA,1967,8 BICHOLIM,5 P . S . DEU,M,null,null,PSP,255
97791,GOA,1967,8 BICHOLIM,6 M . A . DHAKTOO,M,null,null,IND,242
97792,GOA,1967,8 BICHOLIM,7 P . G . BABI,M,null,null,IND,127
