Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
102963,GUJARAT,1980,1 ABDASA,1 KHARASHANKER VITHALDAS JOSHI,M,null,null,INC,16665
102964,GUJARAT,1980,1 ABDASA,2 MAHESH BHAI THACKER,M,null,null,JNP,14420
102965,GUJARAT,1980,1 ABDASA,3 KHIMJI NAGJI PATEL,M,null,null,BJP,11876
102966,GUJARAT,1980,1 ABDASA,4 NAVIN M. SHAH,M,null,null,JNP(SC),1559
102967,GUJARAT,1980,1 ABDASA,5 KUNVERJI KANJI THACKER,M,null,null,IND,364
102968,GUJARAT,1980,1 ABDASA,6 SHAH LAKHAMSHI PREMJI,M,null,null,IND,156
102969,GUJARAT,1980,2 MANDVI,1 SANGHVI JAYKUMAR CHUNILAL,M,null,null,INC,17255
102970,GUJARAT,1980,2 MANDVI,2 DAVE ANANTRAI DEVSHANKER,M,null,null,BJP,13708
102971,GUJARAT,1980,2 MANDVI,3 SHIVDAS GOVIND,M,null,null,JNP,11636
102972,GUJARAT,1980,2 MANDVI,4 JANI CHAMANLAL DURGASHANKER,M,null,null,IND,465
102973,GUJARAT,1980,3 BHUJ,1 SHAH MOHANLAL NEMCHAND,M,null,null,INC,21243
102974,GUJARAT,1980,3 BHUJ,2 MANGAL MAHESHWARI,M,null,null,BJP,9157
102975,GUJARAT,1980,3 BHUJ,3 MAHENDRA THACKER,M,null,null,INC(U),4643
102976,GUJARAT,1980,3 BHUJ,4 BHATT KAMALKANT KANTILAL,M,null,null,JNP,880
102977,GUJARAT,1980,4 MUNDRA,1 DAFDA VIRJI BHIMJI,M,null,null,INC,10048
102978,GUJARAT,1980,4 MUNDRA,2 MOTHARIA MEGHJIBHAI SUMARBHAI,M,null,null,JNP,5347
102979,GUJARAT,1980,4 MUNDRA,3 SHAMJI KHETSH MAHESHWARI,M,null,null,BJP,2347
102980,GUJARAT,1980,4 MUNDRA,4 VINZODA NARENDRA DEVKARAN,M,null,null,IND,1215
102981,GUJARAT,1980,4 MUNDRA,5 PATARIYA RAYSHI ATMARAM,M,null,null,IND,486
102982,GUJARAT,1980,4 MUNDRA,6 VELANI DEVRAJ ASHA,M,null,null,IND,358
102983,GUJARAT,1980,4 MUNDRA,7 HARIJAN BHORAJ KACHARA,M,null,null,IND,322
102984,GUJARAT,1980,4 MUNDRA,8 HARIJAN KHIMJI JAKHU,M,null,null,IND,190
102985,GUJARAT,1980,5 ANJAR,1 KHIMJIBHAI JESANGBHAI,M,null,null,INC,26293
102986,GUJARAT,1980,5 ANJAR,2 SHAH CHAMPAKLAL CHUNILAL,M,null,null,BJP,10842
102987,GUJARAT,1980,5 ANJAR,3 BHEDA VISHANJI RAGHAVJI,M,null,null,IND,3637
