Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
116908,HARYANA,1967,1 KALKA,1 L. SINGH,M,null,null,IND,12787
116909,HARYANA,1967,1 KALKA,2 K. LAL,M,null,null,INC,12086
116910,HARYANA,1967,1 KALKA,3 J. SINGH,M,null,null,IND,8508
116911,HARYANA,1967,1 KALKA,4 P. KUMAR,M,null,null,BJS,5974
116912,HARYANA,1967,1 KALKA,5 S. SINGH,M,null,null,IND,122
116913,HARYANA,1967,2 NARAINGARH,1 L. SINGH,M,null,null,INC,16691
116914,HARYANA,1967,2 NARAINGARH,2 R. N. SARUP,M,null,null,BJS,8528
116915,HARYANA,1967,2 NARAINGARH,3 N. LAL,M,null,null,RPI,6816
116916,HARYANA,1967,2 NARAINGARH,3 N. LAL,M,null,null,RPI,6816
116917,HARYANA,1967,2 NARAINGARH,4 S. RAM,M,null,null,SWA,2291
116918,HARYANA,1967,2 NARAINGARH,5 G. SINGH,M,null,null,IND,1541
116919,HARYANA,1967,2 NARAINGARH,6 B. PARSHAD,M,null,null,IND,936
116920,HARYANA,1967,3 CHHACHROLI,1 R. PARKASH,M,null,null,INC,15525
116921,HARYANA,1967,3 CHHACHROLI,1 R. PARKASH,M,null,null,INC,15525
116922,HARYANA,1967,3 CHHACHROLI,2 P. CHAND,M,null,null,IND,14605
116923,HARYANA,1967,3 CHHACHROLI,3 S. RAM,M,null,null,CPI,3312
116924,HARYANA,1967,3 CHHACHROLI,4 KISHORE,M,null,null,BJS,3101
116925,HARYANA,1967,4 JAGADHRI,1 D. PRAKASH,M,null,null,BJS,14665
116926,HARYANA,1967,4 JAGADHRI,2 G. SINGH,M,null,null,INC,12856
116927,HARYANA,1967,4 JAGADHRI,3 R. A. SINGH,M,null,null,SWA,3742
116928,HARYANA,1967,4 JAGADHRI,4 T. DASS,M,null,null,IND,2740
116929,HARYANA,1967,4 JAGADHRI,5 M. RAM,M,null,null,IND,1169
116930,HARYANA,1967,4 JAGADHRI,6 S. CHAND,M,null,null,IND,338
116931,HARYANA,1967,4 JAGADHRI,7 R. DASS,M,null,null,IND,154
116932,HARYANA,1967,5 YAMUNANAGAR,1 B. DAYAL,M,null,null,INC,22043
116933,HARYANA,1967,5 YAMUNANAGAR,2 R. LAL,M,null,null,BJS,15419
116934,HARYANA,1967,5 YAMUNANAGAR,3 J. GOPAL,M,null,null,PSP,4121
116935,HARYANA,1967,5 YAMUNANAGAR,4 A. CHANDER,M,null,null,IND,456
116936,HARYANA,1967,6 MULANA,1 R. PRASAD,M,null,null,RPI,16694
116937,HARYANA,1967,6 MULANA,2 S. RAM,M,null,null,INC,12321
116938,HARYANA,1967,6 MULANA,3 D. PAUL,M,null,null,SWA,1721
116939,HARYANA,1967,6 MULANA,4 A. RAM,M,null,null,IND,1041
116940,HARYANA,1967,7 NAGGAL,1 LAKHWATI,F,null,null,INC,17494
116941,HARYANA,1967,7 NAGGAL,2 M. SINGH,M,null,null,IND,12430
116942,HARYANA,1967,7 NAGGAL,3 H. SINGH,M,null,null,IND,1196
116943,HARYANA,1967,7 NAGGAL,4 I. RAJ,M,null,null,SWA,1084
116944,HARYANA,1967,8 AMBALA CANTONMENT,1 D. R. ANAND,M,null,null,INC,11343
116945,HARYANA,1967,8 AMBALA CANTONMENT,2 P. NATH,M,null,null,BJS,10845
116946,HARYANA,1967,8 AMBALA CANTONMENT,3 R. NATH,M,null,null,IND,3331
116947,HARYANA,1967,8 AMBALA CANTONMENT,4 G. SINGH,M,null,null,IND,1003
116948,HARYANA,1967,8 AMBALA CANTONMENT,5 K. LALL,M,null,null,IND,711
116949,HARYANA,1967,9 AMBALA,1 F. CHAND,M,null,null,BJS,15887
116950,HARYANA,1967,9 AMBALA,2 A. G. KHAN,M,null,null,INC,8973
116951,HARYANA,1967,9 AMBALA,3 J. SINGH,M,null,null,IND,6149
116952,HARYANA,1967,9 AMBALA,4 J. SINGH,M,null,null,IND,452
116953,HARYANA,1967,10 SHAHABAD,1 J. CHANDER,M,null,null,INC,11074
116954,HARYANA,1967,10 SHAHABAD,2 K. CHAND,M,null,null,BJS,10778
116955,HARYANA,1967,10 SHAHABAD,3 S. SINGH,M,null,null,IND,8664
116956,HARYANA,1967,10 SHAHABAD,4 K. RAM,M,null,null,IND,896
116957,HARYANA,1967,10 SHAHABAD,5 S. LAL,M,null,null,IND,452
116958,HARYANA,1967,11 THANESAR,1 D. PRAKASH,M,null,null,INC,18659
116959,HARYANA,1967,11 THANESAR,2 B. SINGH,M,null,null,BJS,14822
116960,HARYANA,1967,11 THANESAR,3 K. RAM,M,null,null,IND,843
116961,HARYANA,1967,11 THANESAR,4 A. RAM,M,null,null,IND,793
