Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
130287,HIMACHAL PRADESH,1951,1 SOLAN,1 HIRA SINGH PAL,M,null,null,IND,3707
130288,HIMACHAL PRADESH,1951,1 SOLAN,2 CHINTA MANI,M,null,null,IND,3132
130289,HIMACHAL PRADESH,1951,1 SOLAN,3 RAM DASS,M,null,null,SCF,3092
130290,HIMACHAL PRADESH,1951,1 SOLAN,4 KESHAV RAM,M,null,null,INC,2837
130291,HIMACHAL PRADESH,1951,1 SOLAN,5 HARI DASS,M,null,null,INC,2821
130292,HIMACHAL PRADESH,1951,1 SOLAN,6 PHAGOO,M,null,null,IND,1280
130293,HIMACHAL PRADESH,1951,1 SOLAN,6 PHAGOO,M,null,null,IND,1280
130294,HIMACHAL PRADESH,1951,1 SOLAN,7 RAM LAL,M,null,null,HMS,435
130295,HIMACHAL PRADESH,1951,2 KASUMPTI,1 HITENDRA SEN,M,null,null,IND,2637
130296,HIMACHAL PRADESH,1951,2 KASUMPTI,2 TARA SINGH,M,null,null,IND,1810
130297,HIMACHAL PRADESH,1951,2 KASUMPTI,3 BHASKRA NAND,M,null,null,IND,1184
130298,HIMACHAL PRADESH,1951,2 KASUMPTI,4 AMIN CHAND,M,null,null,IND,418
130299,HIMACHAL PRADESH,1951,2 KASUMPTI,5 NIRMA,M,null,null,SCF,369
130300,HIMACHAL PRADESH,1951,2 KASUMPTI,6 BHARAT SINGH,M,null,null,SP,136
130301,HIMACHAL PRADESH,1951,2 KASUMPTI,7 HIRA NAND,M,null,null,IND,106
130302,HIMACHAL PRADESH,1951,3 SUNI,1 SITA RAM,M,null,null,INC,1545
130303,HIMACHAL PRADESH,1951,3 SUNI,2 LILA DASS VERMA,M,null,null,IND,803
130304,HIMACHAL PRADESH,1951,3 SUNI,3 TARA SINGH,M,null,null,IND,516
130305,HIMACHAL PRADESH,1951,3 SUNI,3 TARA SINGH,M,null,null,IND,516
130306,HIMACHAL PRADESH,1951,3 SUNI,4 JIWANOO,M,null,null,SCF,366
130307,HIMACHAL PRADESH,1951,4 KUMARSAIN,1 RAM DAYAL,M,null,null,IND,1513
130308,HIMACHAL PRADESH,1951,4 KUMARSAIN,2 JIANU,M,null,null,SCF,1180
130309,HIMACHAL PRADESH,1951,4 KUMARSAIN,3 GOBIND RAM,M,null,null,INC,787
130310,HIMACHAL PRADESH,1951,4 KUMARSAIN,4 HARI DATT,M,null,null,BJS,753
130311,HIMACHAL PRADESH,1951,4 KUMARSAIN,5 JAI BIHARILAL,M,null,null,IND,642
130312,HIMACHAL PRADESH,1951,5 THEOG,1 DEVI RAM,M,null,null,INC,1658
130313,HIMACHAL PRADESH,1951,5 THEOG,2 KAMAL CHAND,M,null,null,KMPP,1523
130314,HIMACHAL PRADESH,1951,5 THEOG,3 JIWANOO,M,null,null,KMPP,1359
130315,HIMACHAL PRADESH,1951,5 THEOG,4 RAGHBIR SINGH,M,null,null,IND,1299
130316,HIMACHAL PRADESH,1951,5 THEOG,5 MIKNNO RAM,M,null,null,INC,1257
130317,HIMACHAL PRADESH,1951,5 THEOG,6 BALLO RAM,M,null,null,SCF,917
130318,HIMACHAL PRADESH,1951,5 THEOG,7 NALU RAM,M,null,null,SCF,859
130319,HIMACHAL PRADESH,1951,5 THEOG,8 SHYAM SINGH,M,null,null,IND,798
130320,HIMACHAL PRADESH,1951,5 THEOG,9 HIRA SINGH,M,null,null,IND,782
130321,HIMACHAL PRADESH,1951,5 THEOG,10 MOHAN LAL,M,null,null,IND,543
130322,HIMACHAL PRADESH,1951,5 THEOG,11 LACHHMAN DASS,M,null,null,IND,452
130323,HIMACHAL PRADESH,1951,5 THEOG,12 INDER SINGH,M,null,null,IND,316
130324,HIMACHAL PRADESH,1951,6 JUBBAL,1 BALA NAND,M,null,null,INC,3006
130325,HIMACHAL PRADESH,1951,6 JUBBAL,1 BALA NAND,M,null,null,INC,3006
130326,HIMACHAL PRADESH,1951,6 JUBBAL,2 BHAG MAL SAUTHA,M,null,null,KMPP,1541
130327,HIMACHAL PRADESH,1951,6 JUBBAL,3 HUMA NAND,M,null,null,IND,1105
130328,HIMACHAL PRADESH,1951,6 JUBBAL,4 KESHO RAM,M,null,null,IND,648
130329,HIMACHAL PRADESH,1951,7 ROHRU,1 PADAM DEV,M,null,null,INC,1387
130330,HIMACHAL PRADESH,1951,7 ROHRU,2 NOOPA,M,null,null,SCF,937
130331,HIMACHAL PRADESH,1951,7 ROHRU,3 RAMESHWAR DASS,M,null,null,IND,665
130332,HIMACHAL PRADESH,1951,7 ROHRU,4 SANAM RAM,M,null,null,KMPP,576
130333,HIMACHAL PRADESH,1951,7 ROHRU,5 GIAN SINGH,M,null,null,BJS,533
130334,HIMACHAL PRADESH,1951,8 RAJGARH,1 GHAN SHYAM,M,null,null,IND,1585
130335,HIMACHAL PRADESH,1951,8 RAJGARH,2 BHAGAT CHAND,M,null,null,INC,830
