Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
137395,JAMMU & KASHMIR,1996,1 KARNAH,1 KAFEEL-U-REHMAN,M,null,null,JKN,10739
137396,JAMMU & KASHMIR,1996,1 KARNAH,2 AB. RAHMAN BADANA,M,null,null,JD,4311
137397,JAMMU & KASHMIR,1996,1 KARNAH,3 MOHD. SAKANDER KHAN,M,null,null,INC,2219
137398,JAMMU & KASHMIR,1996,2 KUPWARA,1 SAIFULLAH MIR,M,null,null,JKN,5766
137399,JAMMU & KASHMIR,1996,2 KUPWARA,2 CH. SALAM-UD-DIN,M,null,null,INC,4755
137400,JAMMU & KASHMIR,1996,2 KUPWARA,3 GHULAM MOHI-UD-DIN,M,null,null,IND,1301
137401,JAMMU & KASHMIR,1996,2 KUPWARA,4 ASSADULLAH BHAT,M,null,null,JD,1045
137402,JAMMU & KASHMIR,1996,2 KUPWARA,5 DIN MOHD. CHICHI,M,null,null,IND,989
137403,JAMMU & KASHMIR,1996,2 KUPWARA,6 M.Y. BEIGH,M,null,null,IND,719
137404,JAMMU & KASHMIR,1996,2 KUPWARA,7 GHULAM RASOOL SHAH,M,null,null,JPP,637
137405,JAMMU & KASHMIR,1996,3 LOLAB,1 MUSHTAQ AHMAD LONE,M,null,null,JKN,9554
137406,JAMMU & KASHMIR,1996,3 LOLAB,2 ABDUL RAHIM WANI,M,null,null,JD,7367
137407,JAMMU & KASHMIR,1996,3 LOLAB,3 CH. JALAH-UD-DIN,M,null,null,INC,5318
137408,JAMMU & KASHMIR,1996,3 LOLAB,4 GHULAM MOHI-UD-DIN,M,null,null,JPP,3399
137409,JAMMU & KASHMIR,1996,4 HANDWARA,1 MOHD. RAMZAN CHOWDRY,M,null,null,JKN,10937
137410,JAMMU & KASHMIR,1996,4 HANDWARA,2 ALI MOHD. DAR,M,null,null,INC,3017
137411,JAMMU & KASHMIR,1996,4 HANDWARA,3 GULAM NABI PEER,M,null,null,JD,1467
137412,JAMMU & KASHMIR,1996,4 HANDWARA,4 TAJA BEGUM,F,null,null,JPP,973
137413,JAMMU & KASHMIR,1996,5 LANGATE,1 AB. AHAD WANIE,M,null,null,JKN,9734
