Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
140063,JHARKHAND,2005,1 RAJMAHAL,1 THOMAS HANSDA,M,54.0,ST,INC,36472
140064,JHARKHAND,2005,1 RAJMAHAL,2 ARUN MANDAL,M,52.0,GEN,IND,25296
140065,JHARKHAND,2005,1 RAJMAHAL,3 KAMAL KRISHNA BHAGAT,M,47.0,GEN,BJP,21639
140066,JHARKHAND,2005,1 RAJMAHAL,4 MOINUDDIN SHEKH,M,38.0,GEN,CPM,19805
140067,JHARKHAND,2005,1 RAJMAHAL,5 RAMCHANDRA KESHRI,M,64.0,GEN,RJD,11254
140068,JHARKHAND,2005,1 RAJMAHAL,6 DHRUV BHAGAT,M,53.0,GEN,NCP,4251
140069,JHARKHAND,2005,1 RAJMAHAL,7 MD. TAJUDDIN,M,31.0,GEN,IND,2881
140070,JHARKHAND,2005,1 RAJMAHAL,8 PRADEEP KUMAR VERMA,M,34.0,GEN,AJSU,2449
140071,JHARKHAND,2005,1 RAJMAHAL,9 RAJENDRA PRASAD GUPTA,M,47.0,GEN,IND,2354
140072,JHARKHAND,2005,1 RAJMAHAL,10 KIRAN SHANKAR SINHA,M,48.0,GEN,IND,1852
140073,JHARKHAND,2005,1 RAJMAHAL,11 ANUP KUMAR RANKRAJ,M,35.0,GEN,LJP,1583
140074,JHARKHAND,2005,1 RAJMAHAL,12 BHOLA MAHATO,M,30.0,GEN,IND,1375
140075,JHARKHAND,2005,1 RAJMAHAL,13 KRISHNA PANDEY,M,29.0,GEN,BSP,1142
140076,JHARKHAND,2005,1 RAJMAHAL,14 SIDHESHWAR MANDAL,M,49.0,GEN,IND,1092
140077,JHARKHAND,2005,1 RAJMAHAL,15 AKIL HUSAIN ANSARI,M,40.0,SC,IND,1087
140078,JHARKHAND,2005,1 RAJMAHAL,16 BINOD KUMAR YADAV,M,26.0,GEN,IND,1070
140079,JHARKHAND,2005,1 RAJMAHAL,17 ANISUR RAHMAN,M,49.0,GEN,MC,1048
140080,JHARKHAND,2005,1 RAJMAHAL,18 DEOBRAT GUPTA,M,44.0,GEN,IND,870
140081,JHARKHAND,2005,1 RAJMAHAL,19 DINESH PANDIT,M,32.0,GEN,IND,839
140082,JHARKHAND,2005,1 RAJMAHAL,20 KAMLA KANT MANDAL,M,29.0,GEN,SHS,800
140083,JHARKHAND,2005,1 RAJMAHAL,21 OM PRAKASH SAH,M,40.0,GEN,IND,730
140084,JHARKHAND,2005,1 RAJMAHAL,22 CHANDRA DEO BAITHA,M,66.0,SC,SAP,698
140085,JHARKHAND,2005,1 RAJMAHAL,23 AMIN KHAN,M,57.0,GEN,SP,601
140086,JHARKHAND,2005,1 RAJMAHAL,24 DEBRAJ SHARMA SARKAR,M,41.0,GEN,IND,591
140087,JHARKHAND,2005,2 BORIO,1 TALA MARANDI,M,42.0,ST,BJP,44546
140088,JHARKHAND,2005,2 BORIO,2 LOBIN HEMBRUM,M,48.0,ST,JMM,38227
140089,JHARKHAND,2005,2 BORIO,3 KHUDU MURMU,M,45.0,ST,IND,7083
140090,JHARKHAND,2005,2 BORIO,4 MAHESH MALTO,M,36.0,ST,NCP,4295
140091,JHARKHAND,2005,2 BORIO,5 SUNIL HANSDAK,M,31.0,ST,IND,3517
140092,JHARKHAND,2005,2 BORIO,6 NAZARATI SOREN,M,57.0,ST,IND,3496
140093,JHARKHAND,2005,2 BORIO,7 KASRAI SOREN,M,42.0,ST,JDP,1947
140094,JHARKHAND,2005,2 BORIO,8 GYANENDRA MURMU,M,34.0,ST,IND,1484
140095,JHARKHAND,2005,2 BORIO,9 BHAGWAT SOREN,M,68.0,ST,LJP,1371
140096,JHARKHAND,2005,2 BORIO,10 LUKAS HANSDA,M,36.0,ST,IND,1302
140097,JHARKHAND,2005,2 BORIO,11 YOGANAND SOREN,M,32.0,ST,IND,1244
140098,JHARKHAND,2005,2 BORIO,12 SAILU KUMARI MALTI,M,28.0,ST,SHS,1170
140099,JHARKHAND,2005,2 BORIO,13 ELIYAS MURMU,M,50.0,ST,IND,925
140100,JHARKHAND,2005,2 BORIO,14 MANDAKINI MURMU,M,42.0,ST,IND,818
140101,JHARKHAND,2005,2 BORIO,15 BENJAMIN MURMU,M,61.0,ST,IND,681
140102,JHARKHAND,2005,3 BARHAIT,1 THOMAS SOREN,M,41.0,ST,JMM,42332
140103,JHARKHAND,2005,3 BARHAIT,2 SIMON MALTO,M,36.0,ST,BJP,28593
140104,JHARKHAND,2005,3 BARHAIT,3 SAMUEL MURMU,M,39.0,ST,IND,3893
140105,JHARKHAND,2005,3 BARHAIT,4 RAM CHARAN KISKU,M,49.0,ST,CPI,2741
140106,JHARKHAND,2005,3 BARHAIT,5 CHHOTO HANSDA,M,42.0,ST,IND,2221
140107,JHARKHAND,2005,3 BARHAIT,6 JARMAN BASKI,M,36.0,ST,IND,2111
140108,JHARKHAND,2005,3 BARHAIT,7 MARY BASKI,F,43.0,ST,BSP,2103
140109,JHARKHAND,2005,3 BARHAIT,8 LOWRENCE HANSDA,M,56.0,ST,IND,1740
140110,JHARKHAND,2005,3 BARHAIT,9 CHURKA MURMU,M,62.0,ST,SHS,1396
140111,JHARKHAND,2005,3 BARHAIT,10 RAJESH BASKI,M,35.0,ST,IND,1164
140112,JHARKHAND,2005,3 BARHAIT,11 MARIANUS MARANDI,M,36.0,ST,IND,1063
140113,JHARKHAND,2005,3 BARHAIT,12 MASIH SOREN,M,71.0,ST,JKPP,1007
