Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
144276,KARNATAKA,1957,1 ATHANI,1 PAWAR JAYAWANTRAO BHOJRAO,M,null,null,IND,14384
144277,KARNATAKA,1957,1 ATHANI,2 DALVAI NINGAPPA BAHADUR,M,null,null,INC,8730
144278,KARNATAKA,1957,2 RAYBAG,1 PATIL VASANTRAO LAKHGOUDA,M,null,null,IND,37070
144279,KARNATAKA,1957,2 RAYBAG,2 TALWALKAR SAMPATRAO PRADHANJI (SC),M,null,null,SCF,32553
144280,KARNATAKA,1957,2 RAYBAG,3 SHAH BALACHANDRA PREMCHANDRA,M,null,null,INC,23152
144281,KARNATAKA,1957,2 RAYBAG,4 KAMBALE SHIVRUDRAPPA UDAPA (SC),M,null,null,INC,18593
144282,KARNATAKA,1957,2 RAYBAG,5 SHETTI SHRIMANDAR BALAPPA,M,null,null,IND,2259
144283,KARNATAKA,1957,3 SADALGA,1 KHOT BALAJI GOVIND,M,null,null,IND,17714
144284,KARNATAKA,1957,3 SADALGA,2 GUNJAL PADMAPPA HIRIYAPPA,M,null,null,INC,17529
144285,KARNATAKA,1957,4 CHIKKODI,1 KOTHAVALE SHANKAR RAO DADA SAHEB ALIAS DADOBA,M,null,null,INC,14766
144286,KARNATAKA,1957,4 CHIKKODI,2 SHETTI MALLAPPA VEERAPPA,M,null,null,IND,13545
144287,KARNATAKA,1957,5 NIPPANI,1 NAIK BALVANT DATTOBA,M,null,null,IND,26069
144288,KARNATAKA,1957,5 NIPPANI,2 PATIL PANDURANG PARASHRAM,M,null,null,INC,7737
144289,KARNATAKA,1957,5 NIPPANI,3 JOSHI GOVIND SADASHIV,M,null,null,IND,430
144290,KARNATAKA,1957,6 HUKKERI,1 PATIL MALAGOUDA PUNAGOUDA,M,null,null,INC,29716
144291,KARNATAKA,1957,6 HUKKERI,2 BHOGALE CHAMPABAI PIRAJI (SC),F,null,null,INC,26097
144292,KARNATAKA,1957,6 HUKKERI,3 PATIL BAPUSAHEB NANASAHEB,M,null,null,IND,16172
144293,KARNATAKA,1957,6 HUKKERI,4 TIPAKURLE BANDOPANT DHONDIRAM (SC),M,null,null,SCF,13812
144294,KARNATAKA,1957,6 HUKKERI,5 MALANGE APPAJI LAGAMA,M,null,null,IND,2407
144295,KARNATAKA,1957,7 BELGAUM,1 SUNTHANKAR BALAKRISHNA RANGRAO,M,null,null,IND,22179
144296,KARNATAKA,1957,7 BELGAUM,2 QAZI MOHAMED HUSAIN MOHAMED SAHEB,M,null,null,INC,15915
144297,KARNATAKA,1957,8 BELGAUM I,1 PATIL VITHAL SHITARAM,M,null,null,PWP,18016
144298,KARNATAKA,1957,8 BELGAUM I,2 PATIL VITHALRAO KALAJIRAO,M,null,null,INC,12063
144299,KARNATAKA,1957,8 BELGAUM I,2 PATIL VITHALRAO KALAJIRAO,M,null,null,INC,12063
