Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
167321,KERALA,1957,1 PARASSALA,1 KUNJUKRISHNAN NADAR M.,M,null,null,INC,16742
167322,KERALA,1957,1 PARASSALA,2 KRISHNA PILLAI K.,M,null,null,PSP,8338
167323,KERALA,1957,1 PARASSALA,3 STUART.,M,null,null,IND,5831
167324,KERALA,1957,1 PARASSALA,4 RETNASWAMY N.,M,null,null,CPI,5816
167325,KERALA,1957,1 PARASSALA,5 KUNJU MOOSA KUNJU I.,M,null,null,IND,4466
167326,KERALA,1957,2 NEYYATTINKARA,1 JANARDHANAN NAIR O.,M,null,null,CPI,18812
167327,KERALA,1957,2 NEYYATTINKARA,2 KRISHNA PILLAI N. K.,M,null,null,PSP,16558
167328,KERALA,1957,2 NEYYATTINKARA,3 CHELLAPPAN NADAR P.,M,null,null,RSP,8490
167329,KERALA,1957,2 NEYYATTINKARA,4 MADHAVAN PILLAI P.,M,null,null,INC,3499
167330,KERALA,1957,3 VILAPPIL,1 SREEDHAR G. PONNARA,M,null,null,PSP,18221
167331,KERALA,1957,3 VILAPPIL,2 SURENDRANATH K. V.,M,null,null,CPI,14278
167332,KERALA,1957,3 VILAPPIL,3 KUNJUKRISHNAN N.,M,null,null,IND,5771
167333,KERALA,1957,4 NEMOM,1 SADASIVAN A.,M,null,null,CPI,15998
167334,KERALA,1957,4 NEMOM,2 VISWAMBHARAN P.,M,null,null,PSP,14159
167335,KERALA,1957,4 NEMOM,3 KUTTAN NADAR R.,M,null,null,INC,11933
167336,KERALA,1957,5 TRIVANDRUM I,1 EAPAN E. P.,M,null,null,PSP,15466
167337,KERALA,1957,5 TRIVANDRUM I,2 KRISHNAN NAIR K.,M,null,null,IND,13418
167338,KERALA,1957,5 TRIVANDRUM I,2 KRISHNAN NAIR K.,M,null,null,IND,13418
167339,KERALA,1957,5 TRIVANDRUM I,3 LOPEZ.,M,null,null,INC,5945
167340,KERALA,1957,5 TRIVANDRUM I,4 VENUGOPAL G.,M,null,null,RSP,3031
167341,KERALA,1957,6 TIRVANDRUM I I,1 THANU PILLAI A.,M,null,null,PSP,21816
167342,KERALA,1957,6 TIRVANDRUM I I,2 ANIRUDHAN K.,M,null,null,CPI,17082
167343,KERALA,1957,6 TIRVANDRUM I I,3 JANARDHANAN T.P.,M,null,null,INC,3358
167344,KERALA,1957,7 ULLAL,1 SREEDHARAN V.,M,null,null,CPI,16904
167345,KERALA,1957,7 ULLAL,2 ALIKUNJU SASTRI M.,M,null,null,PSP,14182
167346,KERALA,1957,7 ULLAL,3 NAGAPPAN NAIR V.,M,null,null,INC,6445
167347,KERALA,1957,7 ULLAL,4 PANKAJAKSHAN K.,M,null,null,RSP,1921
167348,KERALA,1957,7 ULLAL,5 FELIX FERNANDEZ,M,null,null,IND,409
167349,KERALA,1957,8 ARIANAD,1 BALAKRISHNA PILLAI R.,M,null,null,CPI,16728
167350,KERALA,1957,8 ARIANAD,2 KESAVAN NAIR R.,M,null,null,INC,6987
167351,KERALA,1957,8 ARIANAD,2 KESAVAN NAIR R.,M,null,null,INC,6987
167352,KERALA,1957,8 ARIANAD,3 RAMACHANDRAN NAIR K. G.,M,null,null,RSP,5351
167353,KERALA,1957,8 ARIANAD,4 THOMPSON JOSEPH,M,null,null,IND,4383
167354,KERALA,1957,9 NEDUMANGAD,1 NEELAKANDARU PANDARATHIL N.,M,null,null,CPI,20553
