Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
185116,MADHYA PRADESH,1972,1 SHEOPUR,1 LOKENDRA SINGH,M,null,null,BJS,17511
185117,MADHYA PRADESH,1972,1 SHEOPUR,2 SATYABHANN CHAUHAN,M,null,null,INC,16734
185118,MADHYA PRADESH,1972,1 SHEOPUR,3 VIJAI SINGH,M,null,null,SWA,10075
185119,MADHYA PRADESH,1972,1 SHEOPUR,4 RAM SWARUP,M,null,null,HMS,1654
185120,MADHYA PRADESH,1972,1 SHEOPUR,5 BABU LAL,M,null,null,IND,883
185121,MADHYA PRADESH,1972,1 SHEOPUR,6 RANJIT SINGH,M,null,null,SOP,510
185122,MADHYA PRADESH,1972,2 BIJEYPUR,1 JAGMOHAN SINGH,M,null,null,BJS,25206
185123,MADHYA PRADESH,1972,2 BIJEYPUR,2 NAVAL KISHORE,M,null,null,INC,18641
185124,MADHYA PRADESH,1972,2 BIJEYPUR,3 BHAGWAN,M,null,null,IND,1356
185125,MADHYA PRADESH,1972,2 BIJEYPUR,4 SHIV CHARAN LAL,M,null,null,IND,1050
185126,MADHYA PRADESH,1972,3 SABALAGADH,1 RAGHUBAR DAYAL RASOIYA,M,null,null,INC,15860
185127,MADHYA PRADESH,1972,3 SABALAGADH,2 SHYAM LAL,M,null,null,IND,8784
185128,MADHYA PRADESH,1972,3 SABALAGADH,3 VRIJRAJ SINGH,M,null,null,BJS,8727
185129,MADHYA PRADESH,1972,3 SABALAGADH,4 RAM CHARAN SINGH,M,null,null,IND,3889
185130,MADHYA PRADESH,1972,3 SABALAGADH,5 AMAR SINGH,M,null,null,IND,2358
185131,MADHYA PRADESH,1972,3 SABALAGADH,6 RAJA RAM,M,null,null,IND,2107
185132,MADHYA PRADESH,1972,3 SABALAGADH,7 DEVI RAM,M,null,null,IND,753
185133,MADHYA PRADESH,1972,4 JOURA,1 RAMCHARAN LAL MISHRA,M,null,null,INC,8856
185134,MADHYA PRADESH,1972,4 JOURA,2 YASHWANT SINGH KUSHWAH,M,null,null,BJS,7967
185135,MADHYA PRADESH,1972,4 JOURA,3 VIRENDRA SINGH,M,null,null,SWA,6426
185136,MADHYA PRADESH,1972,4 JOURA,4 CHIMMAN SINGH,M,null,null,IND,3973
185137,MADHYA PRADESH,1972,4 JOURA,5 SHIV LAL,M,null,null,SOP,3509
185138,MADHYA PRADESH,1972,4 JOURA,6 RAM NIVAS SHARMA,M,null,null,IND,3203
185139,MADHYA PRADESH,1972,4 JOURA,7 PRAYAG NARAYAN,M,null,null,IND,2265
185140,MADHYA PRADESH,1972,4 JOURA,8 PREM SINGH,M,null,null,NCO,1375
185141,MADHYA PRADESH,1972,4 JOURA,9 JALIM SINGH,M,null,null,IND,734
