Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
211881,MAHARASHTRA,1962,1 COLABA,1 KALARAM SHANKAR DHARIA,M,null,null,INC,19351
211882,MAHARASHTRA,1962,1 COLABA,2 PHIROZE JAMSHEDJI SHROFF,M,null,null,SWA,7073
211883,MAHARASHTRA,1962,1 COLABA,3 PENAMBUR VISHNU NARAYAN UPADHYAY,M,null,null,CPI,5157
211884,MAHARASHTRA,1962,1 COLABA,4 PALKHAT CHANDY CHERIYAN,M,null,null,SOC,2166
211885,MAHARASHTRA,1962,1 COLABA,5 MURLIDHAR VISHINDAS MULCHANDANI,M,null,null,JS,2159
211886,MAHARASHTRA,1962,2 MANDVI,1 ABDUL KADAR SALEBHOY,M,null,null,INC,19101
211887,MAHARASHTRA,1962,2 MANDVI,2 MANOHAR GOPINATH KOTWAL,M,null,null,PSP,8718
211888,MAHARASHTRA,1962,2 MANDVI,3 HANASHYAM HARI KALE,M,null,null,IND,5629
211889,MAHARASHTRA,1962,2 MANDVI,4 MUNAWAR USMAN KHAN,M,null,null,SOC,3804
211890,MAHARASHTRA,1962,2 MANDVI,5 PANNALAL AMRITLAL SHAH,M,null,null,JS,1248
211891,MAHARASHTRA,1962,3 DONGRI,1 MUSTAFA GULAMNABI FAKI,M,null,null,INC,18906
211892,MAHARASHTRA,1962,3 DONGRI,1 MUSTAFA GULAMNABI FAKI,M,null,null,INC,18906
211893,MAHARASHTRA,1962,3 DONGRI,2 GULAM MAHMUD HAJI NOOR MOHAMED BANATWALLA,M,null,null,IND,18457
211894,MAHARASHTRA,1962,4 KUMBHARWADA,1 BHANUSHANKAR MANCHHARAM YAGNIK,M,null,null,INC,26545
211895,MAHARASHTRA,1962,4 KUMBHARWADA,2 SHANTILAL GIRDHARLAL PATEL,M,null,null,PSP,16833
211896,MAHARASHTRA,1962,4 KUMBHARWADA,3 AMATHALAL VIRCHAN PANCHAL,M,null,null,IND,2633
211897,MAHARASHTRA,1962,4 KUMBHARWADA,4 SURAJBHAN RAMCHARANLAL GARG,M,null,null,JS,2077
211898,MAHARASHTRA,1962,5 DHOBITALAD,1 SHIVARAYAN KAILAS,M,null,null,INC,19144
211899,MAHARASHTRA,1962,5 DHOBITALAD,2 MARUTIRAO NAMDEO TANPURE,M,null,null,IND,4661
211900,MAHARASHTRA,1962,5 DHOBITALAD,3 BABUBHAI MANILAL CHOKSI,M,null,null,IND,3798
211901,MAHARASHTRA,1962,5 DHOBITALAD,4 ARVINDCHANDRA AMBALAL TRIVEDI,M,null,null,JS,1127
211902,MAHARASHTRA,1962,6 GIRGAUM,1 ANANT NARAYAN NAMJOSHI,M,null,null,INC,24107
211903,MAHARASHTRA,1962,6 GIRGAUM,2 GOVIND MORESHWAR PENDSE,M,null,null,IND,13178
211904,MAHARASHTRA,1962,6 GIRGAUM,2 GOVIND MORESHWAR PENDSE,M,null,null,IND,13178
211905,MAHARASHTRA,1962,6 GIRGAUM,3 DATTAPRASANNASADASHIV KATDARE,M,null,null,JS,5777
211906,MAHARASHTRA,1962,6 GIRGAUM,4 DAMODAR MOTIRAM VAGAL,M,null,null,PSP,3504
211907,MAHARASHTRA,1962,6 GIRGAUM,5 CHANDRAVATI KRISHNARAO BENGERI,F,null,null,IND,1882
211908,MAHARASHTRA,1962,6 GIRGAUM,6 YOGANAND,M,null,null,SWA,1059
211909,MAHARASHTRA,1962,6 GIRGAUM,7 DATTATRAY GANGADHAR VELANKAR,M,null,null,RRP,150
211910,MAHARASHTRA,1962,7 WALKESHWAR,1 MANIBEN NANUBHAI DESAI,F,null,null,INC,24351
211911,MAHARASHTRA,1962,7 WALKESHWAR,2 PILOO HOMI MODY,M,null,null,SWA,10187
211912,MAHARASHTRA,1962,7 WALKESHWAR,3 TARA GANGARAM REDDI,F,null,null,CPI,9544
211913,MAHARASHTRA,1962,7 WALKESHWAR,4 PYARELAL SHAMRAO PARALKAR,M,null,null,PSP,5117
211914,MAHARASHTRA,1962,8 MAHALAXMI,1 JEHANGIR TALEYARKHAN HOMI,M,null,null,INC,26768
211915,MAHARASHTRA,1962,8 MAHALAXMI,2 SHANTARAM SAWALRAM MIRAJKAR,M,null,null,CPI,8009
211916,MAHARASHTRA,1962,8 MAHALAXMI,3 DARA DINSHAH VANIA,M,null,null,IND,7577
211917,MAHARASHTRA,1962,8 MAHALAXMI,3 DARA DINSHAH VANIA,M,null,null,IND,7577
211918,MAHARASHTRA,1962,8 MAHALAXMI,4 RAMAKANT ANANT PARADKAR,M,null,null,JS,1455
211919,MAHARASHTRA,1962,8 MAHALAXMI,5 KALKAPRASAD MAIKOO DHOBI,M,null,null,IND,601
211920,MAHARASHTRA,1962,8 MAHALAXMI,6 DATTATRAYA MUKUND NAGARKATTY,M,null,null,IND,280
211921,MAHARASHTRA,1962,9 BYCULLA,1 QAMAR NAYER AHMED,F,null,null,INC,19409
211922,MAHARASHTRA,1962,9 BYCULLA,2 BAPURAO DHONDIBA JAGTAP,M,null,null,CPI,16713
211923,MAHARASHTRA,1962,9 BYCULLA,3 SHABBIR AMED A. KADIR ANSARI,M,null,null,IND,8900
211924,MAHARASHTRA,1962,9 BYCULLA,4 KARBHARI PANDURANG BARAWKAR,M,null,null,PSP,6587
211925,MAHARASHTRA,1962,9 BYCULLA,5 KRISHNAKANT BALKRISHNA PANDARE,M,null,null,JS,2808
211926,MAHARASHTRA,1962,9 BYCULLA,6 SAYED MOHAMMED AKRAM NOGHAMED AFZAL,M,null,null,SOC,648
