Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
241776,MANIPUR,1967,1 SAGOLMANG,1 M . IBOHAL,M,null,null,CPI,3856
241777,MANIPUR,1967,1 SAGOLMANG,2 T . B . SINGH,M,null,null,INC,2268
241778,MANIPUR,1967,1 SAGOLMANG,3 L . BIRACHANDRA,M,null,null,IND,1856
241779,MANIPUR,1967,1 SAGOLMANG,4 W . KULLO,M,null,null,PSP,879
241780,MANIPUR,1967,1 SAGOLMANG,5 T . KOMLAJAO,M,null,null,IND,785
241781,MANIPUR,1967,1 SAGOLMANG,6 Y. K . SINGH,M,null,null,CPM,658
241782,MANIPUR,1967,1 SAGOLMANG,7 T . BOKUL,M,null,null,IND,164
241783,MANIPUR,1967,2 KHURAI,1 K . B . SHARMA,M,null,null,SSP,4482
241784,MANIPUR,1967,2 KHURAI,2 R . U . SINGH,M,null,null,INC,3724
241785,MANIPUR,1967,2 KHURAI,3 N . T . SINGH,M,null,null,IND,2341
241786,MANIPUR,1967,2 KHURAI,4 L . I . SINGH,M,null,null,IND,839
241787,MANIPUR,1967,2 KHURAI,5 K . I . SINGH,M,null,null,CPM,359
241788,MANIPUR,1967,2 KHURAI,6 N . M . SINGH,M,null,null,IND,175
241789,MANIPUR,1967,3 WANGKHEI,1 L . A . SINGH,M,null,null,SSP,5110
241790,MANIPUR,1967,3 WANGKHEI,2 W . I . SINGH,M,null,null,INC,4881
241791,MANIPUR,1967,3 WANGKHEI,3 Q . A . WAHID,M,null,null,IND,975
241792,MANIPUR,1967,3 WANGKHEI,4 W . K . SINGH,M,null,null,PSP,921
241793,MANIPUR,1967,3 WANGKHEI,5 A . S . SHARMA,M,null,null,IND,594
241794,MANIPUR,1967,3 WANGKHEI,6 Y . B . SINGH,M,null,null,IND,177
241795,MANIPUR,1967,4 THOGJU,1 S . A . SINGH,M,null,null,INC,4465
241796,MANIPUR,1967,4 THOGJU,2 H . S . SINGH,M,null,null,SSP,4251
241797,MANIPUR,1967,4 THOGJU,3 SULEIMAN,M,null,null,IND,2017
241798,MANIPUR,1967,4 THOGJU,4 T . T . SINGH,M,null,null,IND,741
241799,MANIPUR,1967,4 THOGJU,5 M . G . SINGH,M,null,null,PSP,463
241800,MANIPUR,1967,4 THOGJU,5 M . G . SINGH,M,null,null,PSP,463
241801,MANIPUR,1967,4 THOGJU,6 T . K . SINGH,M,null,null,IND,261
241802,MANIPUR,1967,4 THOGJU,7 U . M . SINGH,M,null,null,IND,177
241803,MANIPUR,1967,4 THOGJU,8 O . R . SINGH,M,null,null,IND,39
241804,MANIPUR,1967,5 TOMCHINGTHA,1 A . ALI,M,null,null,IND,3726
241805,MANIPUR,1967,5 TOMCHINGTHA,2 P . P . SINGH,M,null,null,CPI,2783
241806,MANIPUR,1967,5 TOMCHINGTHA,3 N . N . SINGH,M,null,null,INC,2745
241807,MANIPUR,1967,5 TOMCHINGTHA,4 K . K . SINGH,M,null,null,IND,2536
241808,MANIPUR,1967,5 TOMCHINGTHA,4 K . K . SINGH,M,null,null,IND,2536
