Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
247299,MEGHALAYA,1998,1 WAR-JAINTIA,1 RIANG LENON TARIANG,M,null,null,UDP,6608
247300,MEGHALAYA,1998,1 WAR-JAINTIA,2 JOHNDENG POHRMEN,M,null,null,INC,5898
247301,MEGHALAYA,1998,1 WAR-JAINTIA,3 CAMILLUS ALBERT LAMIN,M,null,null,HPDP,4276
247302,MEGHALAYA,1998,1 WAR-JAINTIA,4 JUNIOR LAMIN PHUP,M,null,null,BJP,161
247303,MEGHALAYA,1998,1 WAR-JAINTIA,5 EBARSON LYNGDOH BHEM,M,null,null,RJD,49
247304,MEGHALAYA,1998,2 RYMBAI,1 SIMON SIANGSHAI,M,null,null,UDP,9287
247305,MEGHALAYA,1998,2 RYMBAI,2 OBIL KYNDAIT,M,null,null,PDM,8953
247306,MEGHALAYA,1998,2 RYMBAI,3 DORINROY KSIH,M,null,null,INC,6722
247307,MEGHALAYA,1998,3 SUTNGA SAIPUNG,1 OLIVERNEAT CHYRMANG,M,null,null,UDP,7282
247308,MEGHALAYA,1998,3 SUTNGA SAIPUNG,2 SHITLANG PALE,M,null,null,INC,5452
247309,MEGHALAYA,1998,3 SUTNGA SAIPUNG,2 SHITLANG PALE,M,null,null,INC,5452
247310,MEGHALAYA,1998,3 SUTNGA SAIPUNG,3 E.C. BONIFACE BAMON,M,null,null,IND,2617
247311,MEGHALAYA,1998,3 SUTNGA SAIPUNG,4 RICHARD SINGH LYNGDOH,M,null,null,PDM,1336
247312,MEGHALAYA,1998,3 SUTNGA SAIPUNG,5 IONIS DKHAR,M,null,null,BJP,61
247313,MEGHALAYA,1998,4 RALIANG,1 MISHALAN SUCHIANG,M,null,null,UDP,7370
247314,MEGHALAYA,1998,4 RALIANG,2 HERBERT SUCHIANG,M,null,null,INC,7145
247315,MEGHALAYA,1998,4 RALIANG,3 WANBAIT CHULLET,M,null,null,HPDP,4203
247316,MEGHALAYA,1998,4 RALIANG,4 BISONROY IANO,M,null,null,IND,919
247317,MEGHALAYA,1998,5 NARTIANG,1 H. BRITAINWAR DAN,M,null,null,UDP,7735
247318,MEGHALAYA,1998,5 NARTIANG,2 HENRY LAMIN,M,null,null,INC,5451
