Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
249480,MIZORAM,1972,1 TUIPANG,1 HIPHEI,M,null,null,IND,1391
249481,MIZORAM,1972,1 TUIPANG,2 MALAI HLYCHO,M,null,null,IND,1113
249482,MIZORAM,1972,1 TUIPANG,3 S. HIATO,M,null,null,IND,1015
249483,MIZORAM,1972,2 SANGAU,1 SANGCHHUN,M,null,null,IND,1004
249484,MIZORAM,1972,2 SANGAU,2 UKMA GI,M,null,null,IND,820
249485,MIZORAM,1972,2 SANGAU,3 YADYU,M,null,null,IND,814
249486,MIZORAM,1972,2 SANGAU,4 THAWNGCHINA,M,null,null,IND,745
249487,MIZORAM,1972,2 SANGAU,5 B. SANGCHEMA,M,null,null,INC,316
249488,MIZORAM,1972,2 SANGAU,6 LIANUPA,M,null,null,IND,238
249489,MIZORAM,1972,2 SANGAU,7 LACHMUNGA,M,null,null,IND,199
249490,MIZORAM,1972,2 SANGAU,8 SIATO,M,null,null,IND,101
249491,MIZORAM,1972,3 SAIHA,1 SAPLIANA VANDIR,M,null,null,IND,1390
249492,MIZORAM,1972,3 SAIHA,2 L. CHINZAH,M,null,null,INC,1268
249493,MIZORAM,1972,3 SAIHA,3 ZOLIAM,M,null,null,IND,177
249494,MIZORAM,1972,4 CHAWNGTE,1 SATIO PRIO,M,null,null,INC,1630
249495,MIZORAM,1972,4 CHAWNGTE,2 ARUN BIKASH,M,null,null,IND,592
249496,MIZORAM,1972,4 CHAWNGTE,3 ROLIANA,M,null,null,IND,549
249497,MIZORAM,1972,4 CHAWNGTE,3 ROLIANA,M,null,null,IND,549
249498,MIZORAM,1972,4 CHAWNGTE,4 LALKHUMLIANA,M,null,null,IND,535
249499,MIZORAM,1972,4 CHAWNGTE,5 CHANDRA MOHAN,M,null,null,IND,410
249500,MIZORAM,1972,4 CHAWNGTE,6 RAMKHUMA,M,null,null,IND,298
249501,MIZORAM,1972,4 CHAWNGTE,7 NILMONI,M,null,null,IND,191
249502,MIZORAM,1972,4 CHAWNGTE,8 KALI PRASAD,M,null,null,IND,69
249503,MIZORAM,1972,4 CHAWNGTE,9 THANTLUANGA,M,null,null,IND,36
249504,MIZORAM,1972,5 DEMAGIRI,1 HARI KRISTO CHAKMA,M,null,null,INC,2126
249505,MIZORAM,1972,5 DEMAGIRI,2 A. MIDIA,M,null,null,IND,255
249506,MIZORAM,1972,6 BUARPUI,1 P. B. NIKHUMA,M,null,null,IND,798
249507,MIZORAM,1972,6 BUARPUI,2 H. LAL ZAWTA,M,null,null,IND,594
249508,MIZORAM,1972,6 BUARPUI,3 SANGLIANA,M,null,null,IND,513
249509,MIZORAM,1972,6 BUARPUI,4 LIANCHHUNGA,M,null,null,IND,360
249510,MIZORAM,1972,6 BUARPUI,5 THANSIAMA KHIANGTE,M,null,null,INC,305
249511,MIZORAM,1972,6 BUARPUI,6 F. SANGLIANA,M,null,null,IND,160
249512,MIZORAM,1972,7 LUNGLEI,1 K. L. ROCHAMA,M,null,null,IND,1430
249513,MIZORAM,1972,7 LUNGLEI,2 SANGHLIRA COLBERT,M,null,null,INC,876
