Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
251420,NAGALAND,1964,1 DIMAPUR TOWN,1 SHRI GOVINDA CH. PAIRA,M,null,null,IND,2226
251421,NAGALAND,1964,1 DIMAPUR TOWN,2 SHRI KEVICHUSA,M,null,null,IND,1722
251422,NAGALAND,1964,1 DIMAPUR TOWN,2 SHRI KEVICHUSA,M,null,null,IND,1722
251423,NAGALAND,1964,2 DIMAPUR-I,1 SHRI DEBALAL MECH.,M,null,null,IND,1575
251424,NAGALAND,1964,2 DIMAPUR-I,2 SHRI VILHUMA ANGAMI,M,null,null,IND,1060
251425,NAGALAND,1964,3 GHASPANI,1 SHRI LANGKAM,M,null,null,IND,1024
251426,NAGALAND,1964,3 GHASPANI,2 SHRI KHELHOSE SEMA,M,null,null,IND,879
251427,NAGALAND,1964,3 GHASPANI,3 SHRI N.Z. MKRITSU,M,null,null,IND,641
251428,NAGALAND,1964,3 GHASPANI,4 SHRI NGUTSONYU,M,null,null,IND,276
251429,NAGALAND,1964,4 TENNING,1 SHRI LALKHOLAM,M,null,null,IND,1235
251430,NAGALAND,1964,4 TENNING,2 SHRI HUTHOMBO,M,null,null,IND,700
251431,NAGALAND,1964,4 TENNING,3 SHRI LUTJAKAI,M,null,null,IND,232
251432,NAGALAND,1964,5 PEREN,1 SHRI LONGBE,M,null,null,IND,1624
251433,NAGALAND,1964,5 PEREN,2 SHRI LEVI,M,null,null,IND,557
251434,NAGALAND,1964,6 WESTERN ANGAMI,1 SHRI T.N. ANGAMI,M,null,null,IND,1756
251435,NAGALAND,1964,6 WESTERN ANGAMI,2 SHRI KEVICHUSA,M,null,null,IND,910
251436,NAGALAND,1964,7 KOHIMA TOWN,1 SHRI JASOKIE,M,null,null,IND,2182
251437,NAGALAND,1964,7 KOHIMA TOWN,2 SHRI SILIE HARALU,M,null,null,IND,442
251438,NAGALAND,1964,7 KOHIMA TOWN,3 SHRI SHYAMLAL MUNSHI,M,null,null,IND,38
251439,NAGALAND,1964,8 NORTHERN ANGAMI (I),1 SHRI NEITUO,M,null,null,IND,1937
251440,NAGALAND,1964,8 NORTHERN ANGAMI (I),2 SHRI Z. YEKRULIE,M,null,null,IND,439
