Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
260142,ODISHA,1990,1 KARANJIA,1 RAGHUNATH HEMBRAM,M,null,null,JD,30143
260143,ODISHA,1990,1 KARANJIA,2 SUKANTI NAIK,F,null,null,INC,16721
260144,ODISHA,1990,1 KARANJIA,3 BHOLESWAR DAL DASIA,M,null,null,JNP,1273
260145,ODISHA,1990,1 KARANJIA,4 BHAGABAT TADU,M,null,null,JMM,505
260146,ODISHA,1990,1 KARANJIA,5 LAXMIDHAR PURTY,M,null,null,IND,250
260147,ODISHA,1990,1 KARANJIA,6 NALINIRANJAN HEMBRAM,M,null,null,IND,209
260148,ODISHA,1990,2 JASHIPUR,1 MANGAL SINGH MUDI,M,null,null,JD,19438
260149,ODISHA,1990,2 JASHIPUR,2 SAMBHUNATH NAIK,M,null,null,IND,14891
260150,ODISHA,1990,2 JASHIPUR,3 KANHURAM HEMBRAM,M,null,null,IND,6010
260151,ODISHA,1990,2 JASHIPUR,4 SUNDAR MOHAN MAJHI,M,null,null,INC,3904
260152,ODISHA,1990,2 JASHIPUR,5 SAIBASUSIL HANSDA,M,null,null,IND,1209
260153,ODISHA,1990,2 JASHIPUR,6 SUNDAR HEMBRAM,M,null,null,JMM,861
260154,ODISHA,1990,2 JASHIPUR,7 ANANTA HANSDA,M,null,null,IND,403
260155,ODISHA,1990,2 JASHIPUR,8 PRANABANDHU NAYAK,M,null,null,IND,274
260156,ODISHA,1990,2 JASHIPUR,9 GIRISH NAIK,M,null,null,IND,243
260157,ODISHA,1990,2 JASHIPUR,10 AGNISWAR NAYAK,M,null,null,IND,168
260158,ODISHA,1990,2 JASHIPUR,11 BISWANATH BAHDRA,M,null,null,IND,144
260159,ODISHA,1990,3 BAHALDA,1 KHELARAM MAHALI,M,null,null,IND,20073
260160,ODISHA,1990,3 BAHALDA,2 NIRMAL BHAGEY,F,null,null,JD,18597
260161,ODISHA,1990,3 BAHALDA,3 HINDURAI SOREN,M,null,null,INC,6534
260162,ODISHA,1990,3 BAHALDA,4 MAINO MURMU,F,null,null,JKD,735
260163,ODISHA,1990,3 BAHALDA,5 ASWANI BAIPAI,M,null,null,IND,563
260164,ODISHA,1990,3 BAHALDA,6 GANSA SOREN,M,null,null,IND,423
260165,ODISHA,1990,3 BAHALDA,7 CHHATRAI HANSDAH,M,null,null,IND,387
260166,ODISHA,1990,3 BAHALDA,8 GULIA HEMBRAM,M,null,null,IND,162
260167,ODISHA,1990,3 BAHALDA,9 SUNDARMOHAN HEMRAM,M,null,null,IND,71
260168,ODISHA,1990,4 RAIRANGPUR,1 CHAITANYA PRASAD MAJHI,M,null,null,JD,24011
260169,ODISHA,1990,4 RAIRANGPUR,2 NABA MAJHI,M,null,null,IND,19105
260170,ODISHA,1990,4 RAIRANGPUR,3 LAXMAN MAJHI,M,null,null,INC,5748
260171,ODISHA,1990,4 RAIRANGPUR,4 GURU CHARAN BAGEY,M,null,null,IND,1093
260172,ODISHA,1990,4 RAIRANGPUR,5 SADHU CHARAN TUDU,M,null,null,JKD,421
260173,ODISHA,1990,4 RAIRANGPUR,6 HADIBANDHU MURMU,M,null,null,IND,264
260174,ODISHA,1990,4 RAIRANGPUR,7 DAMAN MAJHI,M,null,null,IND,198
260175,ODISHA,1990,5 BANGRIPOSI,1 SUDAM CHANDRA MARNDI,M,null,null,IND,14633
260176,ODISHA,1990,5 BANGRIPOSI,2 PURUSHOTTAM NAIK,M,null,null,BJP,10988
260177,ODISHA,1990,5 BANGRIPOSI,3 BAIDYANATH TUDU,M,null,null,INC,8828
260178,ODISHA,1990,5 BANGRIPOSI,4 MANMOHAN TUDU,M,null,null,JD,7933
260179,ODISHA,1990,5 BANGRIPOSI,5 RUDRA MOHAN DAS,M,null,null,CPI,6549
260180,ODISHA,1990,5 BANGRIPOSI,6 DAMAN HANSDA,M,null,null,JKD,985
260181,ODISHA,1990,5 BANGRIPOSI,7 BISWANATH MAHALI,M,null,null,IND,823
260182,ODISHA,1990,5 BANGRIPOSI,8 DASMAT MARNDI,M,null,null,JMM,393
260183,ODISHA,1990,5 BANGRIPOSI,9 SARBESWAR NAIK,M,null,null,IND,236
260184,ODISHA,1990,5 BANGRIPOSI,10 RAMANATH DAS,M,null,null,IND,61
260185,ODISHA,1990,5 BANGRIPOSI,11 RAMJIT MAJHI,M,null,null,IND,47
260186,ODISHA,1990,6 KULIANA,1 KANHU SOREN,M,null,null,JD,20720
260187,ODISHA,1990,6 KULIANA,2 SARASWATI HEMBRAM,F,null,null,INC,16774
260188,ODISHA,1990,6 KULIANA,3 MISTRI SING,M,null,null,IND,9655
260189,ODISHA,1990,6 KULIANA,4 NEHRU NAIK,M,null,null,IND,3038
260190,ODISHA,1990,6 KULIANA,5 SATYABHAMA SINGH,F,null,null,JMM,1235
260191,ODISHA,1990,6 KULIANA,6 MINATI MARNDI,F,null,null,IND,900
260192,ODISHA,1990,6 KULIANA,7 ROHIDAS SING NAG,M,null,null,JKD,663
260193,ODISHA,1990,7 BARIPADA,1 CHHATISH CHANDRA DHAL,M,null,null,JD,31114
260194,ODISHA,1990,7 BARIPADA,2 PRASANNA KUMAR DASH,M,null,null,INC,25335
260195,ODISHA,1990,7 BARIPADA,3 KISHORE CHANDRA DASH,M,null,null,IND,17694
260196,ODISHA,1990,7 BARIPADA,4 DIBRAT CHANDRA MOHANTA,M,null,null,JMM,6585
260197,ODISHA,1990,7 BARIPADA,5 DHANANTARI SI,M,null,null,IND,854
260198,ODISHA,1990,7 BARIPADA,6 GHASIRAM MOHANTA,M,null,null,IND,648
260199,ODISHA,1990,7 BARIPADA,7 AMBUJA PRUSTI,M,null,null,IND,286
260200,ODISHA,1990,7 BARIPADA,8 NISKAR SAHOO,M,null,null,IND,250
260201,ODISHA,1990,8 BAISINGA,1 ANANTA CHARAN MAJHI,M,null,null,JD,30434
260202,ODISHA,1990,8 BAISINGA,1 ANANTA CHARAN MAJHI,M,null,null,JD,30434
260203,ODISHA,1990,8 BAISINGA,2 KUANRIA MAJHI,M,null,null,INC,24653
260204,ODISHA,1990,8 BAISINGA,3 THANKURA MURMU,M,null,null,IND,6243
260205,ODISHA,1990,8 BAISINGA,4 PURNA,M,null,null,JMM,642
260206,ODISHA,1990,8 BAISINGA,5 PURUSHOTTAM SINGH,M,null,null,IND,369
260207,ODISHA,1990,9 KHUNTA,1 BIRA BHADRA SINGH,M,null,null,JD,35387
260208,ODISHA,1990,9 KHUNTA,2 RAMESH SOREN,M,null,null,INC,20519
260209,ODISHA,1990,9 KHUNTA,3 RASANANDA MURMU,M,null,null,IND,15762
260210,ODISHA,1990,9 KHUNTA,4 HINDU CHARAN MAJHI,M,null,null,IND,218
260211,ODISHA,1990,9 KHUNTA,5 PRAKASH SOREN,M,null,null,IND,138
260212,ODISHA,1990,10 UDALA,1 ROHIDAS SOREN,M,null,null,JD,26828
