Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
266800,PUDUCHERRY,1964,1 MUTHIALPET,"1 SHANMUGHAM, P",M,null,null,CONG,1726
266801,PUDUCHERRY,1964,1 MUTHIALPET,2 THANGAPRAKASAM,M,null,null,IND,1429
266802,PUDUCHERRY,1964,1 MUTHIALPET,3 DHATCHANAMURTHY,M,null,null,PF,1011
266803,PUDUCHERRY,1964,1 MUTHIALPET,4 MURUGAIAN. K.,M,null,null,IND,882
266804,PUDUCHERRY,1964,1 MUTHIALPET,"5 ARUL RAJ A,",M,null,null,IND,173
266805,PUDUCHERRY,1964,2 COUROUSSOUCOUPOM,1 PADMINI CHANDRASEKARAN,F,null,null,CONG,3605
266806,PUDUCHERRY,1964,2 COUROUSSOUCOUPOM,"2 MURUGESA MUDALIAR, M.",M,null,null,IND,3168
266807,PUDUCHERRY,1964,3 CASSICADE,1 KANKEYAN A.S.,M,null,null,CONG,1799
266808,PUDUCHERRY,1964,3 CASSICADE,2 KUPPUSAMY MUDALIAR,M,null,null,IND,1182
266809,PUDUCHERRY,1964,3 CASSICADE,3 SARASWATI,F,null,null,PF,880
266810,PUDUCHERRY,1964,3 CASSICADE,4 SIVAPRAKASAM,M,null,null,IND,572
266811,PUDUCHERRY,1964,3 CASSICADE,5 SIYALI VENKU CHETTY,M,null,null,IND,67
266812,PUDUCHERRY,1964,4 RAJ NIVAS,1 EDOUARD GOUBERT,M,null,null,CONG,2722
266813,PUDUCHERRY,1964,4 RAJ NIVAS,2 PAKIAM S.,M,null,null,IND,662
266814,PUDUCHERRY,1964,4 RAJ NIVAS,2 PAKIAM S.,M,null,null,IND,662
266815,PUDUCHERRY,1964,4 RAJ NIVAS,3 JIMMY EBENEZAR ROBERT,M,null,null,PF,85
266816,PUDUCHERRY,1964,5 BUSSY,1 ACHREAFF C.M.,M,null,null,IND,2367
266817,PUDUCHERRY,1964,5 BUSSY,2 PAUL AMBROISE,M,null,null,CONG,789
266818,PUDUCHERRY,1964,5 BUSSY,3 MUHAMMED HOUSSAIN,M,null,null,PF,618
266819,PUDUCHERRY,1964,6 OUPALAM,1 PERUMAL RAJA G.,M,null,null,IND,3098
266820,PUDUCHERRY,1964,6 OUPALAM,"2 MUNISAMY, D.",M,null,null,CONG,2487
266821,PUDUCHERRY,1964,7 NELLITHOPE,"1 RANGANATHAN, N.",M,null,null,PF,3627
266822,PUDUCHERRY,1964,7 NELLITHOPE,"2 PURUSHOTHAMAN, R.T.",M,null,null,CONG,3611
266823,PUDUCHERRY,1964,8 MODELIARPETH,"1 KAILASA SUBBIAH, V.",M,null,null,PF,3878
266824,PUDUCHERRY,1964,8 MODELIARPETH,"2 SRINIVASAN, K.",M,null,null,CONG,3609
266825,PUDUCHERRY,1964,9 ARIANCOUPOM,"1 RATHINAVELU, P.",M,null,null,CONG,3376
266826,PUDUCHERRY,1964,9 ARIANCOUPOM,"1 RATHINAVELU, P.",M,null,null,CONG,3376
266827,PUDUCHERRY,1964,9 ARIANCOUPOM,"2 THULASINGAM, V.",M,null,null,PF,3135
266828,PUDUCHERRY,1964,9 ARIANCOUPOM,"3 SUNDARARAJAN, S.",M,null,null,IND,360
