Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
269529,PUNJAB,1951,1 DABWALI,1 KARNAIL SINGH,M,null,null,SAD,11364
269530,PUNJAB,1951,1 DABWALI,2 RAM DAYAL VAID,M,null,null,INC,10101
269531,PUNJAB,1951,1 DABWALI,3 PREM SUKH DAS,M,null,null,IND,6909
269532,PUNJAB,1951,1 DABWALI,4 PURKHA,M,null,null,CPI,1100
269533,PUNJAB,1951,1 DABWALI,5 MURLI DHAR,M,null,null,BJS,864
269534,PUNJAB,1951,1 DABWALI,6 RAM GOPAL,M,null,null,SP,589
269535,PUNJAB,1951,1 DABWALI,7 NARAIN SINGH,M,null,null,IND,255
269536,PUNJAB,1951,1 DABWALI,8 MASTAN SINGH,M,null,null,IND,167
269537,PUNJAB,1951,1 DABWALI,9 HAZARI LAL,M,null,null,IND,121
269538,PUNJAB,1951,2 SIRSA,1 DEVI LAL,M,null,null,INC,18572
269539,PUNJAB,1951,2 SIRSA,2 SHIV KARAN SINGH,M,null,null,IND,13863
269540,PUNJAB,1951,3 FATEHABAD,1 DALBIR SINGH GOHAR,M,null,null,INC,16619
269541,PUNJAB,1951,3 FATEHABAD,2 GANGA RAM,M,null,null,IND,14516
269542,PUNJAB,1951,3 FATEHABAD,3 RAMJI LAL,M,null,null,ZP,11069
269543,PUNJAB,1951,3 FATEHABAD,4 CHHABIL DAS,M,null,null,SP,8885
269544,PUNJAB,1951,3 FATEHABAD,5 MANI RAM,M,null,null,SP,7521
269545,PUNJAB,1951,3 FATEHABAD,6 PAT RAM S/O POLA CHAMAR,M,null,null,ZP,6386
269546,PUNJAB,1951,3 FATEHABAD,7 NEMAT RAI,M,null,null,BJS,5257
269547,PUNJAB,1951,3 FATEHABAD,8 PAT RAM S/O KHUB RAM,M,null,null,IND,3084
269548,PUNJAB,1951,3 FATEHABAD,9 JAG RAM,M,null,null,IND,3048
269549,PUNJAB,1951,3 FATEHABAD,10 HET RAM,M,null,null,IND,1599
269550,PUNJAB,1951,4 HISSAR CITY,1 BALWANT RAI,M,null,null,INC,16397
269551,PUNJAB,1951,4 HISSAR CITY,2 JYOTI PRASHAD,M,null,null,BJS,8186
269552,PUNJAB,1951,4 HISSAR CITY,3 PAHLAD SINGH,M,null,null,SP,5111
269553,PUNJAB,1951,4 HISSAR CITY,4 MOLU RAM,M,null,null,IND,1789
269554,PUNJAB,1951,4 HISSAR CITY,5 RAM SARAN JOSH,M,null,null,IND,300
269555,PUNJAB,1951,5 HISSAR SADAR,1 RANJIT SINGH,M,null,null,INC,11794
269556,PUNJAB,1951,5 HISSAR SADAR,2 HARI SINGH,M,null,null,ZP,9186
269557,PUNJAB,1951,5 HISSAR SADAR,3 JAI DEV,M,null,null,IND,4973
269558,PUNJAB,1951,5 HISSAR SADAR,4 BIR SINGH,M,null,null,IND,3468
269559,PUNJAB,1951,5 HISSAR SADAR,5 NET RAM,M,null,null,SP,3371
269560,PUNJAB,1951,6 HANSI,1 LAJPAT RAI,M,null,null,INC,13738
269561,PUNJAB,1951,6 HANSI,2 RAM PRASHAD,M,null,null,IND,6138
269562,PUNJAB,1951,6 HANSI,3 MENI RAM,M,null,null,SP,4798
269563,PUNJAB,1951,6 HANSI,4 RANDHIR SINGH,M,null,null,IND,2754
269564,PUNJAB,1951,6 HANSI,5 SAMPURAN SINGH,M,null,null,IND,626
269565,PUNJAB,1951,6 HANSI,6 KHUSHI RAM,M,null,null,IND,574
269566,PUNJAB,1951,6 HANSI,7 RAM SARAN DAS,M,null,null,IND,444
269567,PUNJAB,1951,7 NARNAUND,1 SARUP SINGH,M,null,null,INC,19553
269568,PUNJAB,1951,7 NARNAUND,2 SRUAJ MAL,M,null,null,ZP,18468
269569,PUNJAB,1951,7 NARNAUND,3 MANI RAM,M,null,null,SP,673
269570,PUNJAB,1951,7 NARNAUND,4 RAGHUBIR SINGH,M,null,null,IND,641
