Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
285528,RAJASTHAN,1977,1 BHADRA,1 LAL CHAND,M,null,null,JNP,22705
285529,RAJASTHAN,1977,1 BHADRA,2 DAYA RAM,M,null,null,IND,16969
285530,RAJASTHAN,1977,1 BHADRA,3 GYAN SINGH,M,null,null,INC,11301
285531,RAJASTHAN,1977,1 BHADRA,4 SURAJ MAL,M,null,null,CPM,1570
285532,RAJASTHAN,1977,1 BHADRA,5 HUNTA RAM,M,null,null,IND,772
285533,RAJASTHAN,1977,2 NOHAR,1 BAHADUR SINGH,M,null,null,JNP,19450
285534,RAJASTHAN,1977,2 NOHAR,2 HANS RAJ,M,null,null,INC,13884
285535,RAJASTHAN,1977,2 NOHAR,3 RAM CHANDRA,M,null,null,IND,7852
285536,RAJASTHAN,1977,2 NOHAR,4 SATYA NARAIN,M,null,null,IND,7111
285537,RAJASTHAN,1977,2 NOHAR,5 BABU RAM,M,null,null,IND,2427
285538,RAJASTHAN,1977,2 NOHAR,6 RAMESHWAR,M,null,null,IND,1241
285539,RAJASTHAN,1977,2 NOHAR,7 NIKU,M,null,null,IND,997
285540,RAJASTHAN,1977,2 NOHAR,8 BACHNA RAM,M,null,null,IND,724
285541,RAJASTHAN,1977,2 NOHAR,9 DHANI RAM,M,null,null,IND,195
285542,RAJASTHAN,1977,3 TIBI,1 DUNGAR RAM,M,null,null,JNP,22973
285543,RAJASTHAN,1977,3 TIBI,2 BIRBAL,M,null,null,INC,19250
285544,RAJASTHAN,1977,3 TIBI,3 SHYAM LAL,M,null,null,IND,2732
285545,RAJASTHAN,1977,3 TIBI,4 BOOTA SINGH,M,null,null,IND,2079
285546,RAJASTHAN,1977,3 TIBI,5 JAGIR SINGH,M,null,null,IND,376
285547,RAJASTHAN,1977,4 HANUMANGARH,1 SHOPAT SINGH MAKASAR,M,null,null,CPM,14204
285548,RAJASTHAN,1977,4 HANUMANGARH,2 BHIM RAJ,M,null,null,INC,11586
