Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
302558,SIKKIM,1979,1 YOKSAM-TASHIDING,1 SANCHAMAN LIMBOO,M,null,null,SJP,754
302559,SIKKIM,1979,1 YOKSAM-TASHIDING,2 ASHOK KUMAR SUBBA,M,null,null,IND,556
302560,SIKKIM,1979,1 YOKSAM-TASHIDING,3 MOHAN KUMAR GURUNG,M,null,null,SPC,468
302561,SIKKIM,1979,1 YOKSAM-TASHIDING,4 RAM BAHADUR LIMBOO,M,null,null,JNP,311
302562,SIKKIM,1979,1 YOKSAM-TASHIDING,5 CHEWANG DORJEE BHUTIA,M,null,null,IND,153
302563,SIKKIM,1979,1 YOKSAM-TASHIDING,6 MANGAL LIMBOO,M,null,null,SCR,143
302564,SIKKIM,1979,2 TASHIDING,1 DAWGYAL PENTSO BHUTIA,M,null,null,SJP,729
302565,SIKKIM,1979,2 TASHIDING,2 PHURBA WANGYAL LASSOPA,M,null,null,JNP,502
302566,SIKKIM,1979,2 TASHIDING,3 LAGO TSERING BHUTIA,M,null,null,SPC,131
302567,SIKKIM,1979,2 TASHIDING,4 PHURBA DORJEE SHERPA,M,null,null,SCR,107
302568,SIKKIM,1979,2 TASHIDING,5 RUTH KARTHOK LEPCHANI,F,null,null,IND,68
302569,SIKKIM,1979,2 TASHIDING,6 YONGDA LEPCHA,M,null,null,IND,10
302570,SIKKIM,1979,3 GYALSHING-BARNYAK,1 INDRA BAHADUR LIMBOO,M,null,null,SJP,811
302571,SIKKIM,1979,3 GYALSHING-BARNYAK,2 NANDA KUMAR SUBEDI,M,null,null,SCR,643
302572,SIKKIM,1979,3 GYALSHING-BARNYAK,3 DUDRAJ GURUNG,M,null,null,JNP,296
302573,SIKKIM,1979,3 GYALSHING-BARNYAK,4 DHAN BAHADUR BASNET,M,null,null,SPC,218
302574,SIKKIM,1979,3 GYALSHING-BARNYAK,5 PADAM DHOJ LIMBU,M,null,null,IND,142
302575,SIKKIM,1979,3 GYALSHING-BARNYAK,6 KANCHO BHUTIA,M,null,null,IND,110
302576,SIKKIM,1979,3 GYALSHING-BARNYAK,7 CHATRA BAHADUR CHHETRI,M,null,null,IND,62
302577,SIKKIM,1979,3 GYALSHING-BARNYAK,8 PURNA BAHADUR LIMBOO,M,null,null,IND,59
302578,SIKKIM,1979,3 GYALSHING-BARNYAK,9 PHARSA MAN LIMBU,M,null,null,IND,42
302579,SIKKIM,1979,3 GYALSHING-BARNYAK,10 PREM PRAKASH SAHAY,M,null,null,IND,27
302580,SIKKIM,1979,3 GYALSHING-BARNYAK,11 RAS BAHADUR SANYASHI,M,null,null,IND,25
302581,SIKKIM,1979,4 DENTAM,1 PADAM LAL GURUNG,M,null,null,SCR,949
302582,SIKKIM,1979,4 DENTAM,2 PAHALMAN SUBBA,M,null,null,SJP,379
302583,SIKKIM,1979,4 DENTAM,3 KEDAR JANG BASNET,M,null,null,IND,362
302584,SIKKIM,1979,4 DENTAM,4 PRATAP SINGH TEWARI,M,null,null,SPC,206
302585,SIKKIM,1979,4 DENTAM,5 PHUR TSHERING LUCKSOM,M,null,null,JNP,104
302586,SIKKIM,1979,4 DENTAM,6 MAN BAHADUR SUBBA,M,null,null,IND,74
302587,SIKKIM,1979,4 DENTAM,7 KUL BAHADUR GURUNG,M,null,null,IND,57
302588,SIKKIM,1979,4 DENTAM,8 PHURBA TSHERING SHERPA,M,null,null,IND,41
302589,SIKKIM,1979,4 DENTAM,9 BABULAL GOYAL,M,null,null,IND,23
302590,SIKKIM,1979,5 BARMIOK,1 TIL BAHADUR LIMBU,M,null,null,SJP,688
302591,SIKKIM,1979,5 BARMIOK,2 MANITA PRADHAN,F,null,null,SCR,419
302592,SIKKIM,1979,5 BARMIOK,2 BHAKTA BAHADUR CHETTRI,M,null,null,SPC,419
302593,SIKKIM,1979,5 BARMIOK,4 MONI PRASAD SUBBA,M,null,null,IND,305
302594,SIKKIM,1979,5 BARMIOK,5 NEEDUP LEPCHA,M,null,null,IND,112
302595,SIKKIM,1979,5 BARMIOK,6 MANI RAJ RAI,M,null,null,JNP,70
302596,SIKKIM,1979,5 BARMIOK,7 DEVI PRASAD GURUNG,M,null,null,IND,25
302597,SIKKIM,1979,5 BARMIOK,8 PADAM SINGH SUBBA,M,null,null,IND,18
302598,SIKKIM,1979,5 BARMIOK,9 JAG BAHADUR CHHETRI,M,null,null,IND,16
302599,SIKKIM,1979,6 RINCHENPONG,1 KATUK BHUTIA,M,null,null,SJP,598
302600,SIKKIM,1979,6 RINCHENPONG,2 DEGEY BHUTIA,M,null,null,JNP,480
302601,SIKKIM,1979,6 RINCHENPONG,3 LODAY TSHERING BHUTIA,M,null,null,SCR,457
302602,SIKKIM,1979,6 RINCHENPONG,4 DAWA TSHERING SHERPA,M,null,null,SPC,415
302603,SIKKIM,1979,6 RINCHENPONG,5 GOMPOO NAMGYAL LEPCHA,M,null,null,IND,138
302604,SIKKIM,1979,6 RINCHENPONG,6 LAKO TSHERING LEPCHA,M,null,null,IND,57
302605,SIKKIM,1979,7 CHAKUNG,1 B.B. GURUNG,M,null,null,SCR,1605
302606,SIKKIM,1979,7 CHAKUNG,2 KULMAN MUKHIA,M,null,null,SJP,378
302607,SIKKIM,1979,7 CHAKUNG,3 RASTAMAN RAI,M,null,null,JNP,242
302608,SIKKIM,1979,7 CHAKUNG,4 TIKA GURUNG,M,null,null,SPC,157
302609,SIKKIM,1979,7 CHAKUNG,5 PRATAP SINGH RAI,M,null,null,IND,51
302610,SIKKIM,1979,7 CHAKUNG,6 CHAKRA BAHADUR GURUNG,M,null,null,IND,11
302611,SIKKIM,1979,8 SOREONG,1 NAR BAHADUR BHANDARI,M,null,null,SJP,1833
