Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
303900,TAMIL NADU,1967,1 WASHERMANPET,1 M. VEDACHALAM,M,null,null,DMK,34571
303901,TAMIL NADU,1967,1 WASHERMANPET,2 M. M. NADAR,M,null,null,INC,27329
303902,TAMIL NADU,1967,1 WASHERMANPET,3 R. NAYAKAR,M,null,null,IND,6072
303903,TAMIL NADU,1967,1 WASHERMANPET,4 K. BALAKRISHNAN,M,null,null,IND,218
303904,TAMIL NADU,1967,1 WASHERMANPET,4 K. BALAKRISHNAN,M,null,null,IND,218
303905,TAMIL NADU,1967,2 HARBOUR,1 H. BAIG,M,null,null,IND,29360
303906,TAMIL NADU,1967,2 HARBOUR,2 K. S. G. H. SHEREEF,M,null,null,INC,25510
303907,TAMIL NADU,1967,2 HARBOUR,3 M,M,null,null,BJS,1935
303908,TAMIL NADU,1967,3 BASIN BRIDGE,1 M. R. KANNAN,M,null,null,DMK,40109
303909,TAMIL NADU,1967,3 BASIN BRIDGE,2 K. RAMDAS,M,null,null,INC,30757
303910,TAMIL NADU,1967,3 BASIN BRIDGE,3 G. KANNAN,M,null,null,CPI,3450
303911,TAMIL NADU,1967,3 BASIN BRIDGE,3 G. KANNAN,M,null,null,CPI,3450
303912,TAMIL NADU,1967,3 BASIN BRIDGE,4 T. SUNDARARAJAN,M,null,null,IND,229
303913,TAMIL NADU,1967,4 PARK TOWN,1 H. V. HANDE,M,null,null,SWA,29144
303914,TAMIL NADU,1967,4 PARK TOWN,2 T. N. ANANDANAYAKI,F,null,null,INC,26465
303915,TAMIL NADU,1967,4 PARK TOWN,3 P. C. KALYANASUNDARAM,M,null,null,BJS,384
303916,TAMIL NADU,1967,4 PARK TOWN,4 K. ARIYASANKARAN,M,null,null,IND,325
303917,TAMIL NADU,1967,4 PARK TOWN,5 V. THANIKACHALAM,M,null,null,IND,191
303918,TAMIL NADU,1967,5 PERAMBUR,1 S. MUTHU,F,null,null,DMK,40364
303919,TAMIL NADU,1967,5 PERAMBUR,2 D. SULOCHANA,F,null,null,INC,33677
303920,TAMIL NADU,1967,5 PERAMBUR,3 MUTHUVELU,M,null,null,IND,445
303921,TAMIL NADU,1967,6 PURASAWALKAM,1 V. S. GOVINDARAJAN,M,null,null,DMK,41272
303922,TAMIL NADU,1967,6 PURASAWALKAM,2 DAMODARAN,M,null,null,INC,29046
303923,TAMIL NADU,1967,6 PURASAWALKAM,3 KRISHNIAH,M,null,null,BJS,792
303924,TAMIL NADU,1967,7 EGMORE,1 A. V. P. ASAITHAMBI,M,null,null,DMK,36133
303925,TAMIL NADU,1967,7 EGMORE,2 J. VENCATACHELLUM,F,null,null,INC,29187
303926,TAMIL NADU,1967,7 EGMORE,3 G. SAMUAL,M,null,null,IND,1350
303927,TAMIL NADU,1967,8 THOUSAND LIGHTS,1 K. A. MATHIALAGAN,M,null,null,DMK,39518
303928,TAMIL NADU,1967,8 THOUSAND LIGHTS,2 M. SIVARAJ,F,null,null,INC,25370
303929,TAMIL NADU,1967,8 THOUSAND LIGHTS,3 K. MUNIRAJI,M,null,null,IND,245
303930,TAMIL NADU,1967,8 THOUSAND LIGHTS,4 P. RAMAKRISHNAN,M,null,null,BJS,238
303931,TAMIL NADU,1967,8 THOUSAND LIGHTS,5 A. K. M. PITCHAI,M,null,null,IND,198
303932,TAMIL NADU,1967,9 TRIPLICANE,1 V. R. NEDUNCHEZHIYAN,M,null,null,DMK,38721
303933,TAMIL NADU,1967,9 TRIPLICANE,2 M. S. SAMMANDAPPA,M,null,null,INC,26027
303934,TAMIL NADU,1967,9 TRIPLICANE,3 N. V. RAO,M,null,null,BJS,431
303935,TAMIL NADU,1967,10 MYLAPORE,1 ARANGANNAL,M,null,null,DMK,37498
303936,TAMIL NADU,1967,10 MYLAPORE,2 V. R. RADHAKRISHNAN,M,null,null,INC,28270
303937,TAMIL NADU,1967,11 T-NAGAR,1 M. P. SIVAGNANAM,M,null,null,DMK,37662
303938,TAMIL NADU,1967,11 T-NAGAR,2 K. M. SUBRAMANIAM,M,null,null,IND,27669
303939,TAMIL NADU,1967,11 T-NAGAR,3 LAKSHMINARASIMHAN,M,null,null,BJS,333
303940,TAMIL NADU,1967,12 SAIDAPET,1 M. KARUNANIDHI,M,null,null,DMK,53401
303941,TAMIL NADU,1967,12 SAIDAPET,2 S. G. VINAYAGAMURTHI,M,null,null,INC,32919
303942,TAMIL NADU,1967,12 SAIDAPET,3 D. SARADAMBAL,F,null,null,IND,665
303943,TAMIL NADU,1967,12 SAIDAPET,4 M. PARASURAM,M,null,null,IND,327
303944,TAMIL NADU,1967,12 SAIDAPET,5 M. VENUGOPAL,M,null,null,IND,290
303945,TAMIL NADU,1967,13 GUMMIDIPOONDI,1 K. VEZHAVENDAN,M,null,null,DMK,35887
303946,TAMIL NADU,1967,13 GUMMIDIPOONDI,2 KAMALAMBUJAMMAL,F,null,null,INC,31527
303947,TAMIL NADU,1967,13 GUMMIDIPOONDI,3 A. V. J. NATCKER,M,null,null,IND,848
303948,TAMIL NADU,1967,14 PONNERI,1 P. NAGALINGAM,M,null,null,DMK,37746
303949,TAMIL NADU,1967,14 PONNERI,2 T. P. ELUMALAI,M,null,null,INC,27751
303950,TAMIL NADU,1967,14 PONNERI,3 A. P. ELUMALAI,M,null,null,IND,1177
303951,TAMIL NADU,1967,15 THIRUVOTTIYUR,1 A. P. ARASU,M,null,null,DMK,51437
303952,TAMIL NADU,1967,15 THIRUVOTTIYUR,2 V. VENKATESWARALU,M,null,null,INC,32564
303953,TAMIL NADU,1967,16 ST THOMAS MOUNT,1 M. G. RAMACHANDRAN,M,null,null,DMK,54106
303954,TAMIL NADU,1967,16 ST THOMAS MOUNT,2 T. L. RAGHUPATHY,M,null,null,INC,26432
303955,TAMIL NADU,1967,16 ST THOMAS MOUNT,3 K. KASINATHAN,M,null,null,BJS,613
303956,TAMIL NADU,1967,17 THIRUPORUR,1 M. ADHI,M,null,null,DMK,39047
303957,TAMIL NADU,1967,17 THIRUPORUR,2 N. M. MANIVARAMA,M,null,null,INC,22631
303958,TAMIL NADU,1967,17 THIRUPORUR,3 BUPATHY,M,null,null,IND,2039
