Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
335934,TELANGANA,2023,1 SIRPUR,1 DR.PALVAI HARISH BABU,M,44.0,GEN,BJP,63702
335935,TELANGANA,2023,1 SIRPUR,2 KONERU KONAPPA,M,69.0,GEN,BHRS,60614
335936,TELANGANA,2023,1 SIRPUR,3 R.S. PRAVEEN KUMAR,M,56.0,GEN,BSP,44646
335937,TELANGANA,2023,1 SIRPUR,4 RRAAVI SRINWASS,M,49.0,GEN,INC,8427
335938,TELANGANA,2023,1 SIRPUR,5 NOTA,NOTA,NOTA,NOTA,NOTA,2196
335939,TELANGANA,2023,1 SIRPUR,6 YELUMULE MANOHAR,M,29.0,GEN,IND,1813
335940,TELANGANA,2023,1 SIRPUR,7 DR.DESHAGANI SAMBASHIVA GOUD,M,45.0,GEN,IND,1324
335941,TELANGANA,2023,1 SIRPUR,8 DASARI VENKATESH,M,43.0,GEN,IND,1301
335942,TELANGANA,2023,1 SIRPUR,9 RAMTENKI AJAY KUMAR,M,41.0,SC,PRCP,1085
335943,TELANGANA,2023,1 SIRPUR,10 KAMRA NAGESH,M,33.0,SC,IPBP,627
335944,TELANGANA,2023,1 SIRPUR,11 DONGRI PRAVEEN KUMAR,M,33.0,SC,AIFB,360
335945,TELANGANA,2023,1 SIRPUR,12 PARCHAKI KESHAV RAO,M,50.0,ST,GGP,305
335946,TELANGANA,2023,1 SIRPUR,13 GAMTIDAS KHOBRAGADE,M,51.0,SC,NIP,246
335947,TELANGANA,2023,1 SIRPUR,14 JADI. DEEPAK,M,39.0,SC,RPI,234
335948,TELANGANA,2023,2 CHENNUR,1 VIVEK VENKAT SWAMY,M,66.0,SC,INC,87541
335949,TELANGANA,2023,2 CHENNUR,2 BALKA SUMAN,M,40.0,SC,BHRS,50026
335950,TELANGANA,2023,2 CHENNUR,3 DURGAM ASHOK,M,48.0,SC,BJP,3375
335951,TELANGANA,2023,2 CHENNUR,4 THUNGAPINDI RAMESH,M,45.0,SC,IND,2166
335952,TELANGANA,2023,2 CHENNUR,5 NOTA,NOTA,NOTA,NOTA,NOTA,1792
335953,TELANGANA,2023,2 CHENNUR,6 ASAMPELLY SAMPATH KUMAR,M,31.0,SC,IND,1444
335954,TELANGANA,2023,2 CHENNUR,7 DASARAPU SRINIVAS,M,48.0,SC,BSP,1398
335955,TELANGANA,2023,2 CHENNUR,8 NANDIPATI RAJU,M,35.0,SC,DHRMSMJP,948
335956,TELANGANA,2023,2 CHENNUR,9 MOTHE RAJALINGU,M,44.0,SC,SP(I),837
335957,TELANGANA,2023,2 CHENNUR,10 DURGAM SAMMAIAH,M,35.0,SC,IND,832
335958,TELANGANA,2023,2 CHENNUR,11 SOGALA SANJEEV,M,44.0,SC,AIFB,579
335959,TELANGANA,2023,2 CHENNUR,12 VADLAKONDA RAJAM,M,51.0,SC,TLGNARJYS,405
335960,TELANGANA,2023,2 CHENNUR,13 MOYYI VENUGOPAL,M,54.0,SC,BMUP,337
335961,TELANGANA,2023,2 CHENNUR,14 MAHESH SALLURI,M,28.0,SC,PS,304
335962,TELANGANA,2023,2 CHENNUR,15 MULKALLA RAJENDRA PRASAD,M,38.0,SC,AIMEP,246
335963,TELANGANA,2023,3 BELLAMPALLI,1 GADDAM VINOD,M,67.0,SC,INC,82217
335964,TELANGANA,2023,3 BELLAMPALLI,2 DURGAM CHINNAIAH,M,52.0,SC,BHRS,45339
335965,TELANGANA,2023,3 BELLAMPALLI,2 DURGAM CHINNAIAH,M,52.0,SC,BHRS,45339
335966,TELANGANA,2023,3 BELLAMPALLI,3 AMURAJULA SRIDEVI,F,51.0,SC,BJP,3812
335967,TELANGANA,2023,3 BELLAMPALLI,4 DAGAM SRINIVAS,M,44.0,SC,IND,2357
335968,TELANGANA,2023,3 BELLAMPALLI,5 NOTA,NOTA,NOTA,NOTA,NOTA,2179
335969,TELANGANA,2023,3 BELLAMPALLI,6 DURGE ESHWAR,M,38.0,SC,IND,1512
335970,TELANGANA,2023,3 BELLAMPALLI,7 SRINIVAS RAMTENKI,M,28.0,SC,RPI,1289
335971,TELANGANA,2023,3 BELLAMPALLI,8 NARSAIAH JADI,M,52.0,SC,BSP,1183
335972,TELANGANA,2023,3 BELLAMPALLI,9 AMBALA MAHENDAR,M,45.0,SC,IND,606
335973,TELANGANA,2023,3 BELLAMPALLI,10 RAMAGIRI SRIPATHI,M,39.0,SC,BCYP,387
335974,TELANGANA,2023,3 BELLAMPALLI,11 PERUGU RAVINDER,M,42.0,SC,SP(I),340
335975,TELANGANA,2023,3 BELLAMPALLI,12 JANGAPELLY RAMASWAMY,M,51.0,SC,DHRMSMJP,258
335976,TELANGANA,2023,3 BELLAMPALLI,13 PADMA YEDLA,F,43.0,SC,BMUP,198
335977,TELANGANA,2023,3 BELLAMPALLI,14 GOGARLA SHANKAR,M,51.0,SC,CPIM,186
335978,TELANGANA,2023,4 MANCHERIAL,1 KOKKIRALA PREMSAGAR RAO,M,63.0,GEN,INC,105945
335979,TELANGANA,2023,4 MANCHERIAL,2 RAGHUNATH VERABELLI,M,51.0,GEN,BJP,39829
335980,TELANGANA,2023,4 MANCHERIAL,3 DIWAKAR RAO NADIPELLI,M,71.0,GEN,BHRS,37989
335981,TELANGANA,2023,4 MANCHERIAL,4 SOULLA SANDEEP,M,35.0,GEN,IND,1890
335982,TELANGANA,2023,4 MANCHERIAL,5 THOTA SRINIVAS,M,41.0,GEN,BSP,1280
335983,TELANGANA,2023,4 MANCHERIAL,6 PRANAY GANGAREDDY,M,25.0,GEN,IND,1054
335984,TELANGANA,2023,4 MANCHERIAL,7 NOTA,NOTA,NOTA,NOTA,NOTA,942
335985,TELANGANA,2023,4 MANCHERIAL,8 HANUMANDLA SHANKAR,M,57.0,GEN,IND,740
335986,TELANGANA,2023,4 MANCHERIAL,9 NAHEEM PASHA MD,M,32.0,GEN,IND,636
335987,TELANGANA,2023,4 MANCHERIAL,10 RANGU MALLESHAM,M,53.0,GEN,IND,515
335988,TELANGANA,2023,4 MANCHERIAL,11 TALLURI VENKATESWARLU,M,48.0,GEN,IND,334
335989,TELANGANA,2023,4 MANCHERIAL,12 MD. IFTHAKAR AHMED,M,57.0,GEN,IND,295
335990,TELANGANA,2023,4 MANCHERIAL,13 ADUNURI RAMESH,M,48.0,GEN,DHRMSMJP,246
335991,TELANGANA,2023,4 MANCHERIAL,14 M. KRISHNA,M,48.0,GEN,IND,218
335992,TELANGANA,2023,4 MANCHERIAL,15 ANDE MANGA,F,44.0,GEN,IND,169
335993,TELANGANA,2023,4 MANCHERIAL,15 ANDE MANGA,F,44.0,GEN,IND,169
335994,TELANGANA,2023,4 MANCHERIAL,16 GORLAPALLY SURESH,M,29.0,SC,VTRP,164
335995,TELANGANA,2023,4 MANCHERIAL,17 CHERUKURI SHANTHI SREE,F,48.0,SC,BARESP,136
335996,TELANGANA,2023,4 MANCHERIAL,18 DOMMATI RAVI KUMAR,M,39.0,GEN,AIFB,128
335997,TELANGANA,2023,5 ASIFABAD,1 KOVA LAXMI,F,53.0,ST,BHRS,83052
335998,TELANGANA,2023,5 ASIFABAD,2 AJMERA SHYAM,M,53.0,ST,INC,60242
335999,TELANGANA,2023,5 ASIFABAD,3 KOTNAKA VIJAY KUMAR,M,40.0,ST,IND,16469
336000,TELANGANA,2023,5 ASIFABAD,4 AJMEERA ATHMARAO,M,38.0,ST,BJP,6613
336001,TELANGANA,2023,5 ASIFABAD,5 KANAKA PRABHAKAR,M,46.0,ST,BSP,3544
336002,TELANGANA,2023,5 ASIFABAD,6 AJMERA RAM NAYAK,M,46.0,ST,PRSHP,2567
336003,TELANGANA,2023,5 ASIFABAD,7 SIDAM ANNIGA,M,29.0,ST,IND,2093
336004,TELANGANA,2023,5 ASIFABAD,8 KOTNAKA KISHANRAO,M,45.0,ST,IND,1534
336005,TELANGANA,2023,5 ASIFABAD,9 NOTA,NOTA,NOTA,NOTA,NOTA,1516
336006,TELANGANA,2023,5 ASIFABAD,10 MESRAM NAVEEN KUMAR,M,32.0,ST,IND,1481
336007,TELANGANA,2023,5 ASIFABAD,11 VASANTH SINGH JADHAV,M,61.0,ST,IND,989
336008,TELANGANA,2023,5 ASIFABAD,12 PUSAM SONERAO,M,26.0,ST,IND,847
336009,TELANGANA,2023,5 ASIFABAD,13 REBBANA NAGARAJU,M,37.0,ST,IND,838
336010,TELANGANA,2023,5 ASIFABAD,14 ATHRAM GOVARDHAN,M,66.0,ST,GGP,759
336011,TELANGANA,2023,5 ASIFABAD,15 BHUKYA PALLAVI,F,40.0,ST,BMUP,664
336012,TELANGANA,2023,5 ASIFABAD,16 SHIDAM DHARMU,M,60.0,ST,IND,587
336013,TELANGANA,2023,5 ASIFABAD,17 GOVIND BUKYA,M,37.0,ST,JAC,463
336014,TELANGANA,2023,5 ASIFABAD,18 NUNAVAT TIRUPATI,M,34.0,ST,VTRP,408
336015,TELANGANA,2023,6 KHANAPUR,1 VEDMA. BHOJJU,M,37.0,ST,INC,58870
336016,TELANGANA,2023,6 KHANAPUR,2 JOHNSON NAIK BHUKYA,M,47.0,ST,BHRS,54168
336017,TELANGANA,2023,6 KHANAPUR,3 RAMESH RATHOD,M,57.0,ST,BJP,52398
336018,TELANGANA,2023,6 KHANAPUR,4 NOTA,NOTA,NOTA,NOTA,NOTA,2114
336019,TELANGANA,2023,6 KHANAPUR,5 BANSILAL RATHOD,M,38.0,ST,BSP,1706
336020,TELANGANA,2023,6 KHANAPUR,6 NETHAVATH RAJENDER,M,32.0,ST,IND,1294
336021,TELANGANA,2023,6 KHANAPUR,7 ATHRAM RAVINDHAR,M,41.0,ST,IND,1245
336022,TELANGANA,2023,6 KHANAPUR,8 ASHA REDDY BONTHA,M,55.0,ST,GGP,1068
336023,TELANGANA,2023,6 KHANAPUR,9 MOHAN,M,63.0,ST,IND,573
336024,TELANGANA,2023,6 KHANAPUR,10 PENDOOR PRIYANKA,F,33.0,ST,CPIM,364
336025,TELANGANA,2023,6 KHANAPUR,10 PENDOOR PRIYANKA,F,33.0,ST,CPIM,364
336026,TELANGANA,2023,6 KHANAPUR,11 JADHAV PRABAS,M,33.0,ST,DHRMSMJP,267
336027,TELANGANA,2023,6 KHANAPUR,12 KUTHATI VIJAYA,F,44.0,ST,PPOI,172
336028,TELANGANA,2023,7 ADILABAD,1 PAYAL SHANKER,M,52.0,GEN,BJP,67608
336029,TELANGANA,2023,7 ADILABAD,2 JOGU RAMANNA,M,60.0,GEN,BHRS,60916
336030,TELANGANA,2023,7 ADILABAD,3 KANDI SRINIVASA REDDY,M,40.0,GEN,INC,47724
