Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
340771,TRIPURA,2013,1 SIMNA,1 PRANAB DEBBARMA,M,45.0,ST,CPM,17063
340772,TRIPURA,2013,1 SIMNA,2 RABINDRA DEBBARMA,M,53.0,ST,INPT,13244
340773,TRIPURA,2013,1 SIMNA,3 SUBODH DEBBARMA,M,68.0,ST,IPFT,632
340774,TRIPURA,2013,1 SIMNA,4 HIRAMUNI DEBBARMA,M,28.0,ST,BJP,450
340775,TRIPURA,2013,2 MOHANPUR,1 RATAN LAL NATH,M,62.0,GEN,INC,19143
340776,TRIPURA,2013,2 MOHANPUR,2 SUBHAS CHANDRA DEBNATH,M,61.0,GEN,CPM,18368
340777,TRIPURA,2013,2 MOHANPUR,3 MANGALIA DEBBARMA,M,49.0,ST,IPFT,640
340778,TRIPURA,2013,2 MOHANPUR,4 BHUPESH DEBNATH,M,40.0,GEN,AMB,417
340779,TRIPURA,2013,2 MOHANPUR,5 DHIRENDRA DEBNATH,M,42.0,GEN,BJP,403
340780,TRIPURA,2013,3 BAMUTIA,1 HARICHARAN SARKAR,M,63.0,SC,CPM,19744
340781,TRIPURA,2013,3 BAMUTIA,2 PRAKASH CHANDRA DAS,M,54.0,SC,INC,16994
340782,TRIPURA,2013,3 BAMUTIA,3 BIKRAM BAIRAGI,M,27.0,SC,BJP,493
340783,TRIPURA,2013,3 BAMUTIA,4 BIMAL CHANDRA DAS,M,53.0,SC,AMB,481
340784,TRIPURA,2013,4 BARJALA,1 JITENDRA SARKAR,M,67.0,SC,INC,17728
340785,TRIPURA,2013,4 BARJALA,2 JITENDRA DAS,M,64.0,SC,CPM,17467
340786,TRIPURA,2013,4 BARJALA,3 SAMIR BISWAS,M,47.0,SC,BJP,511
340787,TRIPURA,2013,4 BARJALA,4 RAHUL DAS,M,39.0,SC,SP,291
340788,TRIPURA,2013,5 KHAYERPUR,1 PABITRA KAR,M,62.0,GEN,CPM,20972
340789,TRIPURA,2013,5 KHAYERPUR,2 BAPTU CHAKRABORTY,M,33.0,GEN,INC,19675
340790,TRIPURA,2013,5 KHAYERPUR,3 NILIMA GHOSH,F,56.0,GEN,BJP,698
340791,TRIPURA,2013,6 AGARTALA,1 SUDIP ROY BARMAN,M,47.0,GEN,INC,22160
340792,TRIPURA,2013,6 AGARTALA,2 SANKAR PRASAD DATTA,M,55.0,GEN,CPM,19398
340793,TRIPURA,2013,6 AGARTALA,3 SUSHIL ROY,M,66.0,GEN,BJP,823
340794,TRIPURA,2013,7 RAMNAGAR,1 RATAN DAS,M,55.0,GEN,CPM,18060
340795,TRIPURA,2013,7 RAMNAGAR,2 SURAJIT DATTA,M,61.0,GEN,INC,17995
340796,TRIPURA,2013,7 RAMNAGAR,3 BIDYUT GHOSH,M,44.0,GEN,BJP,657
340797,TRIPURA,2013,8 TOWN BARDOWALI,1 ASISH KUMAR SAHA,M,53.0,GEN,INC,22474
340798,TRIPURA,2013,8 TOWN BARDOWALI,2 SHYAMAL ROY,M,61.0,GEN,AIFB,15414
340799,TRIPURA,2013,8 TOWN BARDOWALI,3 MANOJ KANTI DEBROY,M,53.0,GEN,BJP,498
340800,TRIPURA,2013,8 TOWN BARDOWALI,4 SUJIT PAUL,M,41.0,GEN,IND,354
340801,TRIPURA,2013,8 TOWN BARDOWALI,5 DEBAJIT ROY,M,27.0,GEN,AMB,206
340802,TRIPURA,2013,8 TOWN BARDOWALI,6 SHIBANI BHAUMIK,F,53.0,GEN,SUCI,170
340803,TRIPURA,2013,9 BANAMALIPUR,1 GOPAL CHANDRA ROY,M,64.0,GEN,INC,19464
340804,TRIPURA,2013,9 BANAMALIPUR,2 YUDHISTHIR DAS,M,59.0,SC,CPI,13702
340805,TRIPURA,2013,9 BANAMALIPUR,2 YUDHISTHIR DAS,M,59.0,SC,CPI,13702
340806,TRIPURA,2013,9 BANAMALIPUR,3 GITA ROY,F,63.0,GEN,BJP,441
340807,TRIPURA,2013,9 BANAMALIPUR,4 DULAL CHANDRA TALAPATRA,M,65.0,GEN,AMB,194
340808,TRIPURA,2013,9 BANAMALIPUR,5 SUBRATA CHAKRABORTY,M,52.0,GEN,SUCI,180
340809,TRIPURA,2013,10 MAJLISHPUR,1 MANIK DEY,M,60.0,GEN,CPM,21304
340810,TRIPURA,2013,10 MAJLISHPUR,2 BIBEKANANDA CHOUDHURI,M,53.0,GEN,INC,18375
340811,TRIPURA,2013,10 MAJLISHPUR,3 BALARAM DEBBARMA,M,35.0,ST,IPFT,520
340812,TRIPURA,2013,10 MAJLISHPUR,4 DHANANJOY BHOWMIK,M,46.0,GEN,BJP,434
340813,TRIPURA,2013,11 MANDAIBAZAR,1 MONORANJAN DEBBARMA,M,53.0,ST,CPM,19275
340814,TRIPURA,2013,11 MANDAIBAZAR,2 JAGADISH DEBBARMA,M,57.0,ST,INPT,17450
340815,TRIPURA,2013,11 MANDAIBAZAR,3 BASINDRA DEBBARMA,M,64.0,ST,IPFT,910
340816,TRIPURA,2013,11 MANDAIBAZAR,4 PADMA KUMAR DEBBARMA,M,48.0,ST,BJP,649
340817,TRIPURA,2013,12 TAKARJALA,1 NIRANJAN DEBBARMA,M,72.0,ST,CPM,17315
340818,TRIPURA,2013,12 TAKARJALA,2 RAJESHWAR DEBBARMA,M,41.0,ST,INPT,16108
340819,TRIPURA,2013,12 TAKARJALA,3 BRAJALAL DEBBARMA,M,55.0,ST,IPFT,690
340820,TRIPURA,2013,12 TAKARJALA,4 GANESH KALAI,M,58.0,ST,BJP,605
340821,TRIPURA,2013,13 PRATAPGARH,1 ANIL SARKAR,M,71.0,SC,CPM,23977
340822,TRIPURA,2013,13 PRATAPGARH,2 RANJIT KUMAR DAS,M,56.0,SC,INC,21845
340823,TRIPURA,2013,13 PRATAPGARH,3 BIPLAB CHANDRA SARKAR,M,38.0,SC,IND,846
340824,TRIPURA,2013,14 BADHARGHAT,1 DILIP SARKAR,M,53.0,SC,INC,24309
340825,TRIPURA,2013,14 BADHARGHAT,2 SAMAR DAS,M,27.0,SC,RSP,23666
340826,TRIPURA,2013,14 BADHARGHAT,3 BIDYUT DAS,M,39.0,SC,BJP,529
340827,TRIPURA,2013,14 BADHARGHAT,4 SUBAL SARKAR,M,54.0,SC,AMB,510
340828,TRIPURA,2013,14 BADHARGHAT,5 ASIT DAS,M,30.0,SC,SUCI,308
340829,TRIPURA,2013,15 KAMALASAGAR,1 NARAYAN CHANDRA,M,58.0,GEN,CPM,19808
340830,TRIPURA,2013,15 KAMALASAGAR,2 DIPAK KUMAR ROY,M,64.0,GEN,INC,14393
340831,TRIPURA,2013,15 KAMALASAGAR,3 SUJIT SARKAR,M,52.0,GEN,IND,371
340832,TRIPURA,2013,15 KAMALASAGAR,4 TULSI BANIK,M,54.0,GEN,BJP,367
340833,TRIPURA,2013,15 KAMALASAGAR,5 SHUBHENDU SARKAR,M,30.0,GEN,AMB,349
340834,TRIPURA,2013,16 BISHALGARH,1 BHANULAL SAHA,M,65.0,GEN,CPM,20987
340835,TRIPURA,2013,16 BISHALGARH,2 SAMIR RANJAN BARMAN,M,69.0,GEN,INC,19263
340836,TRIPURA,2013,16 BISHALGARH,3 RAM NARAYAN ROY,M,40.0,GEN,BJP,386
340837,TRIPURA,2013,16 BISHALGARH,4 JIBAN KUMAR BHOWMIK,M,50.0,GEN,IND,313
340838,TRIPURA,2013,16 BISHALGARH,5 ASHIT RANJAN DEB,M,35.0,GEN,AMB,188
340839,TRIPURA,2013,17 GOLAGHATI,1 KESHAB DEBBARMA,M,42.0,ST,CPM,19181
340840,TRIPURA,2013,17 GOLAGHATI,2 MANAB DEBBARMA,M,32.0,ST,INPT,14648
340841,TRIPURA,2013,17 GOLAGHATI,3 BUDHU KUMAR DEBBARMA,M,57.0,ST,IPFT,703
340842,TRIPURA,2013,18 SURYAMANINAGAR,1 RAJ KUMAR CHAUDHURI,M,54.0,GEN,CPM,21613
340843,TRIPURA,2013,18 SURYAMANINAGAR,2 AVIJIT DEB,M,38.0,GEN,INC,19979
340844,TRIPURA,2013,18 SURYAMANINAGAR,3 TAPAS MAJUMDER,M,35.0,GEN,BJP,575
340845,TRIPURA,2013,18 SURYAMANINAGAR,4 NEPAL CHANDRA DAS,M,38.0,SC,IND,382
340846,TRIPURA,2013,18 SURYAMANINAGAR,5 BABUL BANIK,M,43.0,GEN,SUCI,271
340847,TRIPURA,2013,19 CHARILAM,1 RAMENDRA NARAYAN,M,63.0,ST,CPM,16479
340848,TRIPURA,2013,19 CHARILAM,2 HIMANI DEBBARMA,F,40.0,ST,INC,15138
340849,TRIPURA,2013,19 CHARILAM,3 RAMMOHAN DEBBARMA,M,39.0,ST,IPFT,733
340850,TRIPURA,2013,20 BOXANAGAR,1 SAHID CHOUDHURI,M,54.0,GEN,CPM,17100
340851,TRIPURA,2013,20 BOXANAGAR,2 BILLAL MIA,M,49.0,GEN,INC,14579
340852,TRIPURA,2013,20 BOXANAGAR,3 MANTU SARKAR,M,58.0,GEN,BJP,460
340853,TRIPURA,2013,21 NALCHAR,1 TAPAN CHANDRA DAS,M,46.0,SC,CPM,21969
340854,TRIPURA,2013,21 NALCHAR,2 UTTAM DAS,M,36.0,SC,INC,13862
340855,TRIPURA,2013,21 NALCHAR,3 PARIMAL BARMAN,M,40.0,SC,BJP,541
340856,TRIPURA,2013,21 NALCHAR,4 CHANDAN DAS,M,39.0,SC,SP,270
