Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
341729,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),1 SHANTI PRAPAN SHARMA,M,null,null,INC,17274
341730,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),2 GULAB SINGH,M,null,null,IND,13886
341731,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),3 NARAIN DATT DANGWAL,M,null,null,IND,3884
341732,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),3 NARAIN DATT DANGWAL,M,null,null,IND,3884
341733,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),4 CHANDER KANT ANTIWAL,M,null,null,SP,1759
341734,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),5 DEV RAJ,M,null,null,IND,1086
341735,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),6 MOHAN LAL,M,null,null,IND,1042
341736,UTTAR PRADESH,1951,1 CHAKRATA CUM WESTERN DOON (NORTH),7 TAQUIR HUSSAIN,M,null,null,IND,581
341737,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,1 NAR DEV SHASTRI,M,null,null,INC,19031
341738,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,2 JAGMOHAN SWARUP,M,null,null,BJS,4745
341739,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,3 GOPAL DATT DIMRI,M,null,null,SP,3406
341740,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,4 RAGHUBIR SINGH,M,null,null,HMS,1117
341741,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,5 KALI RAM,M,null,null,IND,771
341742,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,6 KRISHAN CHANDER SINGHAL,M,null,null,IND,756
341743,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,7 PITAMBER DATT,M,null,null,IND,669
341744,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,8 ANAND SWARUP GARG,M,null,null,IND,364
341745,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,9 HAR BHAGWAN,M,null,null,RSP,289
341746,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,10 P.K. GARG,M,null,null,IND,269
341747,UTTAR PRADESH,1951,2 WESTERN DOON SOUTH CUM EASTERN DOON,10 P.K. GARG,M,null,null,IND,269
