Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
429901,UTTARAKHAND,2002,1 PUROLA,1 MALCHANDER,M,null,null,BJP,13209
429902,UTTARAKHAND,2002,1 PUROLA,2 SHANTI DEVI ALIAS SHANTI JUWANTHA,F,null,null,INC,10238
429903,UTTARAKHAND,2002,1 PUROLA,3 SHAILENDRA LAL,M,null,null,UJP,4610
429904,UTTARAKHAND,2002,1 PUROLA,4 SAKAL CHAND,M,null,null,IND,1668
429905,UTTARAKHAND,2002,1 PUROLA,5 VIRENDRA LAL,M,null,null,SP,1097
429906,UTTARAKHAND,2002,1 PUROLA,6 HIRPAL ARYA,M,null,null,BSP,800
429907,UTTARAKHAND,2002,1 PUROLA,7 GULBIYA,M,null,null,IND,443
429908,UTTARAKHAND,2002,1 PUROLA,8 JETHU LAL,M,null,null,UKKD,318
429909,UTTARAKHAND,2002,2 GANGOTRI,1 VIJAYPAL SINGH SAJWAN,M,null,null,INC,7878
429910,UTTARAKHAND,2002,2 GANGOTRI,2 KAMALA RAM NAUTIYAL,M,null,null,CPI,7268
429911,UTTARAKHAND,2002,2 GANGOTRI,3 BUDHI SINGH PANWAR,M,null,null,BJP,6822
429912,UTTARAKHAND,2002,2 GANGOTRI,4 HARI SINGH RANA,M,null,null,IND,6005
429913,UTTARAKHAND,2002,2 GANGOTRI,5 CHANDAN SINGH RANA,M,null,null,UJP,4082
429914,UTTARAKHAND,2002,2 GANGOTRI,6 DEVENDRA DUTT SEMWAL,M,null,null,IND,1081
429915,UTTARAKHAND,2002,2 GANGOTRI,7 JAGENDRA SINGH BIST,M,null,null,IND,948
429916,UTTARAKHAND,2002,2 GANGOTRI,8 BUDHI BALLABH JOSHI,M,null,null,BSP,936
429917,UTTARAKHAND,2002,2 GANGOTRI,9 KAMLESHWAR,M,null,null,IND,646
429918,UTTARAKHAND,2002,2 GANGOTRI,10 SHANTI PRASAD THAPLIYAL,M,null,null,IND,613
429919,UTTARAKHAND,2002,2 GANGOTRI,10 SHANTI PRASAD THAPLIYAL,M,null,null,IND,613
429920,UTTARAKHAND,2002,2 GANGOTRI,11 MAHABEER SINGH CHAUHAN,M,null,null,SAP,447
429921,UTTARAKHAND,2002,2 GANGOTRI,12 ROSHAN LAL,M,null,null,SP,393
429922,UTTARAKHAND,2002,2 GANGOTRI,13 MADAN SINGH,M,null,null,UKKD,327
429923,UTTARAKHAND,2002,2 GANGOTRI,14 KIRTI NIDHI SAJWAN,M,null,null,RLD,229
429924,UTTARAKHAND,2002,3 YAMUNOTRI,1 PRITAM SINGH PAWAR,M,null,null,UKKD,9498
429925,UTTARAKHAND,2002,3 YAMUNOTRI,2 KEDAR SINGH,M,null,null,INC,7013
429926,UTTARAKHAND,2002,3 YAMUNOTRI,3 SULOCHANA,F,null,null,BJP,5584
429927,UTTARAKHAND,2002,3 YAMUNOTRI,4 BUDDHI SINGH`,M,null,null,BSP,3999
429928,UTTARAKHAND,2002,3 YAMUNOTRI,5 BALBEER SINGH BIST,M,null,null,UJP,1909
429929,UTTARAKHAND,2002,3 YAMUNOTRI,6 MANVEER SINGH,M,null,null,NCP,1667
429930,UTTARAKHAND,2002,3 YAMUNOTRI,7 RANVEER SINGH,M,null,null,IND,1304
429931,UTTARAKHAND,2002,3 YAMUNOTRI,8 BISHAN SINGH,M,null,null,CPI,1269
429932,UTTARAKHAND,2002,3 YAMUNOTRI,9 SANGAT SINGH CHAUHAN,M,null,null,IND,1041
429933,UTTARAKHAND,2002,3 YAMUNOTRI,10 DHAUNKAR SINGH,M,null,null,IND,922
429934,UTTARAKHAND,2002,3 YAMUNOTRI,11 BIMAL DEV AWASTHI,M,null,null,IND,756
429935,UTTARAKHAND,2002,3 YAMUNOTRI,12 DHARAM SINGH RANA,M,null,null,RPD,666
429936,UTTARAKHAND,2002,3 YAMUNOTRI,12 DHARAM SINGH RANA,M,null,null,RPD,666
429937,UTTARAKHAND,2002,3 YAMUNOTRI,13 RAM PRASAD,M,null,null,SP,385
429938,UTTARAKHAND,2002,4 PRATAPNAGAR,1 PHOOL SINGH BIST,M,null,null,INC,10517
429939,UTTARAKHAND,2002,4 PRATAPNAGAR,2 VIJAY SINGH PANWAR ALIAS GUDDU PANWAR,M,null,null,IND,9128
429940,UTTARAKHAND,2002,4 PRATAPNAGAR,3 LT. COL. PITAMBER DUTT KURIYAL,M,null,null,BJP,7076
