Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
453342,WEST BENGAL,2011,1 MEKLIGANJ,1 ADHIKARY PARESH,M,58.0,SC,AIFB,72040
453343,WEST BENGAL,2011,1 MEKLIGANJ,2 JAYANTA KUMAR RAY,M,48.0,SC,INC,39408
453344,WEST BENGAL,2011,1 MEKLIGANJ,3 SUNIL CHANDRA RAY,M,60.0,SC,IND,23540
453345,WEST BENGAL,2011,1 MEKLIGANJ,4 SUBHASH BARMAN,M,34.0,SC,BJP,3713
453346,WEST BENGAL,2011,1 MEKLIGANJ,5 JYOTISH ROY,M,61.0,SC,BSP,3359
453347,WEST BENGAL,2011,1 MEKLIGANJ,6 PRAMILA ROY,F,44.0,SC,SUCI,2593
453348,WEST BENGAL,2011,1 MEKLIGANJ,7 PURNENDU ROY,M,32.0,SC,IND,1474
453349,WEST BENGAL,2011,1 MEKLIGANJ,8 RATAN BARMAN,M,46.0,SC,AMB,1230
453350,WEST BENGAL,2011,2 MATHABHANGA,1 BINAY KRISHNA BARMAN,M,50.0,SC,AITC,78249
453351,WEST BENGAL,2011,2 MATHABHANGA,2 ANANTA ROY,M,57.0,SC,CPM,72925
453352,WEST BENGAL,2011,2 MATHABHANGA,3 SUSHIL BARMAN,M,42.0,SC,BJP,11308
453353,WEST BENGAL,2011,2 MATHABHANGA,4 MANTU BARMAN,M,41.0,SC,IND,2919
453354,WEST BENGAL,2011,2 MATHABHANGA,5 TILAK CHAND BARMAN,M,29.0,SC,BSP,1954
453355,WEST BENGAL,2011,2 MATHABHANGA,6 HARE KRISHNA SARKAR,M,39.0,SC,RPI,1079
453356,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,1 NAGENDRA NATH ROY,M,54.0,SC,AIFB,84825
453357,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,2 PRASENJIT BARMAN,M,77.0,SC,AITC,82628
453358,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,3 MALATI RAVA(RAY),F,46.0,SC,BJP,12608
453359,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,3 MALATI RAVA(RAY),F,46.0,SC,BJP,12608
453360,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,4 NIRMAL KUMAR ROY,M,51.0,SC,IND,4745
453361,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,5 RATAN BARMAN,M,28.0,SC,IND,1883
453362,WEST BENGAL,2011,3 COOCHBEHAR UTTAR,6 KULEN DAS,M,47.0,SC,IND,1343
453363,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,1 AKSHAY THAKUR,M,58.0,GEN,AIFB,72028
453364,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,2 ABDUL JALIL AHMED,M,57.0,GEN,AITC,69165
453365,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,3 GAYETRI KAR,F,51.0,GEN,BJP,6419
453366,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,4 SANAT SEN,M,33.0,GEN,IND,2207
453367,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,5 SHYAMAL CHANDRA BARMAN,M,33.0,SC,IND,1277
453368,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,6 PRAHLAD CHANDRA DATTA,M,63.0,GEN,IND,745
453369,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,6 PRAHLAD CHANDRA DATTA,M,63.0,GEN,IND,745
453370,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,7 KRISHNA KANTA BARMAN,M,31.0,SC,IND,685
453371,WEST BENGAL,2011,4 COOCHBEHAR DAKSHIN,8 CHANCHAL SARKAR,M,36.0,GEN,PDCI,589
453372,WEST BENGAL,2011,5 SITALKUCHI,1 HITEN BARMAN,M,60.0,SC,AITC,84651
453373,WEST BENGAL,2011,5 SITALKUCHI,2 BISWANATH PRAMANIK,M,57.0,SC,CPM,84394
453374,WEST BENGAL,2011,5 SITALKUCHI,3 BHABENDRA NATH BARMAN,M,63.0,SC,BJP,8829
453375,WEST BENGAL,2011,5 SITALKUCHI,4 SUBAL BARMAN,M,30.0,SC,JMM,6000
453376,WEST BENGAL,2011,5 SITALKUCHI,5 DWIJENDRA NATH BARMAN,M,33.0,SC,IND,3547
453377,WEST BENGAL,2011,5 SITALKUCHI,6 GOUTAM BARMAN,M,36.0,SC,BSP,2369
453378,WEST BENGAL,2011,5 SITALKUCHI,7 SUBODH BARMAN,M,54.0,SC,AMB,1663
453379,WEST BENGAL,2011,6 SITAI,1 KESHAB CH. RAY,M,58.0,SC,INC,79791
453380,WEST BENGAL,2011,6 SITAI,2 DIPAK KUMAR ROY,M,45.0,SC,AIFB,78214
453381,WEST BENGAL,2011,6 SITAI,3 BROJO GOBINDA BARMAN,M,54.0,SC,BJP,5185
453382,WEST BENGAL,2011,6 SITAI,4 BHAJAN BISWAS,M,28.0,SC,IND,2904
453383,WEST BENGAL,2011,6 SITAI,5 ANIL CHANDRA BARMAN ROY,M,52.0,SC,SUCI,2035
453384,WEST BENGAL,2011,6 SITAI,6 GOUTAM BARMAN,M,41.0,SC,IND,1613
453385,WEST BENGAL,2011,6 SITAI,7 TAPAS BARMAN,M,29.0,SC,IND,1220
453386,WEST BENGAL,2011,7 DINHATA,1 UDAYAN GUHA,M,56.0,GEN,AIFB,93050
453387,WEST BENGAL,2011,7 DINHATA,2 DR. MD. FAZLE HAQUE,M,74.0,GEN,IND,63024
453388,WEST BENGAL,2011,7 DINHATA,3 AMIYA KUMAR SARKAR,M,47.0,GEN,NCP,13093
453389,WEST BENGAL,2011,7 DINHATA,4 NIRANJAN BARMAN,M,43.0,SC,BSP,4135
453390,WEST BENGAL,2011,7 DINHATA,5 SUDHANGSHU KUMAR ROY,M,49.0,SC,BJP,3964
453391,WEST BENGAL,2011,7 DINHATA,6 CHAYAN ROY,M,27.0,SC,IND,2610
453392,WEST BENGAL,2011,7 DINHATA,7 MAYAMANA KHATUN,F,29.0,GEN,IPFB,1903
453393,WEST BENGAL,2011,7 DINHATA,8 GOUTAM BARMAN,M,42.0,SC,IND,1753
453394,WEST BENGAL,2011,7 DINHATA,9 NARAYAN BARMAN,M,28.0,SC,JD(U),652
453395,WEST BENGAL,2011,8 NATABARI,1 RABINDRA NATH GHOSH,M,56.0,GEN,AITC,81951
453396,WEST BENGAL,2011,8 NATABARI,2 TAMSER ALI,M,57.0,GEN,CPM,74386
453397,WEST BENGAL,2011,8 NATABARI,3 UTPAL DEB,M,50.0,GEN,BJP,9923
453398,WEST BENGAL,2011,8 NATABARI,4 SIDDIK UDDIN BEPARI,M,45.0,GEN,IND,2972
453399,WEST BENGAL,2011,8 NATABARI,5 GIRINDRA NATH BARMAN,M,68.0,SC,RPI,1867
453400,WEST BENGAL,2011,8 NATABARI,6 PRODYUT KUMAR DEY,M,47.0,GEN,IND,1197
453401,WEST BENGAL,2011,9 TUFANGANJ,1 ARGHYA ROY PRADHAN,M,40.0,SC,AITC,73721
453402,WEST BENGAL,2011,9 TUFANGANJ,2 DHANANJOY RAVA,M,48.0,ST,CPM,67539
453403,WEST BENGAL,2011,9 TUFANGANJ,3 BIMAL KUMAR SARKAR,M,48.0,SC,BJP,17220
453404,WEST BENGAL,2011,9 TUFANGANJ,4 SIBEN BARMAN,M,27.0,SC,IND,2817
453405,WEST BENGAL,2011,9 TUFANGANJ,5 GANESH DAKUA,M,40.0,SC,IND,2463
453406,WEST BENGAL,2011,10 KUMARGRAM,1 DASRATH TIRKEY,M,44.0,ST,RSP,71545
453407,WEST BENGAL,2011,10 KUMARGRAM,2 JOACHIM BAXLA,M,56.0,ST,AITC,58964
453408,WEST BENGAL,2011,10 KUMARGRAM,3 VINAY KUMAR MINJ,M,29.0,ST,JMM,18784
453409,WEST BENGAL,2011,10 KUMARGRAM,4 HOPNA SOREN,M,37.0,ST,BJP,12488
453410,WEST BENGAL,2011,10 KUMARGRAM,5 HIRA CHARAN NARJINARI,M,65.0,ST,IND,4687
453411,WEST BENGAL,2011,10 KUMARGRAM,6 SANJIB KUMAR NARJINARI,M,52.0,ST,IND,2960
453412,WEST BENGAL,2011,10 KUMARGRAM,7 ELIASH NARJINARY,M,58.0,ST,BSP,2782
453413,WEST BENGAL,2011,10 KUMARGRAM,8 KHULU SAREN,M,51.0,ST,IND,1751
453414,WEST BENGAL,2011,10 KUMARGRAM,9 SUSHILA LAKRA,F,59.0,ST,RADP,1220
453415,WEST BENGAL,2011,11 KALCHINI,1 WILSON CHAMPRAMARY,M,36.0,ST,IND,46455
453416,WEST BENGAL,2011,11 KALCHINI,2 BINAY BHUSAN KERKETTA,M,30.0,ST,RSP,39210
453417,WEST BENGAL,2011,11 KALCHINI,3 SANDIP EKKA,M,31.0,ST,JMM,36285
453418,WEST BENGAL,2011,11 KALCHINI,4 PABAN KUMAR LAKRA,M,58.0,ST,AITC,27662
